"","HuAgeMSNDsplitRnaseq_03....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","ALDH1A1"
"2","APP"
"3","ARHGAP29"
"4","CASP12"
"5","CD40"
"6","CES2"
"7","CLDN6"
"8","CNOT6L"
"9","DEGS2"
"10","EIF3H"
"11","EXOC3L1"
"12","FRY"
"13","GPCPD1"
"14","IFNAR1"
"15","ITPR1"
"16","KCP"
"17","KIAA0355"
"18","LAMB1"
"19","MAGIX"
"20","MPZL1"
"21","ODF3B"
"22","PPARD"
"23","PTPRR"
"24","RPS11"
"25","RPS28"
"26","SBDS"
"27","SNRK"
"28","TIAM1"
"29","TMEM252"
"30","TXN2"
"31","ZIC3"
