"","HuAgeMSNDsplitRnaseq_06....npcBYnsc_Walker_FC5___"
"1","BVES"
"2","CCDC142"
"3","CPM"
"4","EBF4"
"5","FAP"
"6","FRAT1"
"7","GFOD1"
"8","HLA-DOA"
"9","JAKMIP3"
"10","LAMC3"
"11","LRRC2"
"12","MGST2"
"13","MYBPH"
"14","PJVK"
"15","PLEKHH2"
"16","PSTPIP1"
"17","REC8"
"18","RHOT2"
"19","RIPOR3"
"20","SYCP2"
"21","SYNDIG1"
"22","TMEM156"
"23","TSPAN32"
"24","ZNF431"
"25","ZNF566"
"26","ZNF66"
"27","ZNF711"
