"","HuAgeMSNDsplitRnaseq_24....npcBYnsc_Walker_FC5___"
"1","ACTG2"
"2","CASQ2"
"3","CCL19"
"4","CCR7"
"5","CNN1"
"6","CST6"
"7","DES"
"8","EDNRA"
"9","FOXS1"
"10","IFITM2"
"11","IGFBP3"
"12","ITGA8"
"13","ITIH3"
"14","MRGPRF"
"15","PROCR"
"16","PTGIS"
"17","RBPMS"
"18","SERPINB1"
"19","SERPINE1"
"20","SGCA"
"21","SMAD7"
"22","SYNPO2"
"23","TAGLN"
"24","TM4SF1"
