InputCategories,UserDefinedCategories,Type,CorrectedPvalues
HuAgeMSNDsplitRnaseq_07,astroBYoFC5__,User,1.50E-142
HuAgeMSNDsplitRnaseq_06,MicrogliByothers_Zhang_Cuffdiff2FCover20__,User,8.91E-113
HuAgeMSNDsplitRnaseq_01,PSVZbyQSVZ_Morizur_FC5___,User,5.02E-109
HuAgeMSNDsplitRnaseq_06,nscBYnpc_Walker_FC5___,User,2.78E-92
HuAgeMSNDsplitRnaseq_18,endoBYoFC5__,User,8.54E-85
HuAgeMSNDsplitRnaseq_14,neuronBYoFC5__,User,3.78E-80
HuAgeMSNDsplitRnaseq_18,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,3.93E-80
HuAgeMSNDsplitRnaseq_07,QSVZbyPSVZ_Morizur_FC5___,User,6.08E-56
HuAgeMSNDsplitRnaseq_07,AstroByothers_Zhang_Cuffdiff2FCover20__,User,2.51E-45
HuAgeMSNDsplitRnaseq_06,microgliaBYoFC5__,User,8.32E-39
HuAgeMSNDsplitRnaseq_08,myeoligoBYoFC5__,User,1.92E-26
HuAgeMSNDsplitRnaseq_14,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,1.02E-23
HuAgeMSNDsplitRnaseq_06,PSVZbyQSVZ_Morizur_FC5___,User,1.19E-18
HuAgeMSNDsplitRnaseq_07,MicroByMono_Zhang_Cuffdiff2FCover20__,User,5.57E-17
HuAgeMSNDsplitRnaseq_12,QNSCbyPNSC_Ben_FC5___,User,2.01E-15
HuAgeMSNDsplitRnaseq_24,qnpBYtap_Mukherjee_FC5___,User,7.18E-14
HuAgeMSNDsplitRnaseq_24,endoBYoFC5__,User,5.62E-13
HuAgeMSNDsplitRnaseq_03,PSVZbyQSVZ_Morizur_FC5___,User,1.07E-12
HuAgeMSNDsplitRnaseq_12,PGBCbyQGBC_Aulestia_FC5___,User,2.97E-12
HuAgeMSNDsplitRnaseq_07,qRP_BY_aNP_ThanTrong_up__,User,8.90E-12
HuAgeMSNDsplitRnaseq_24,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,1.21E-09
HuAgeMSNDsplitRnaseq_05,monocytesBYoFC5__,User,1.47E-09
HuAgeMSNDsplitRnaseq_12,endoBYoFC5__,User,1.57E-09
HuAgeMSNDsplitRnaseq_08,npcBYnsc_Walker_FC5___,User,3.15E-09
HuAgeMSNDsplitRnaseq_24,PGBCbyQGBC_Aulestia_FC5___,User,2.66E-08
HuAgeMSNDsplitRnaseq_12,npcBYnsc_Walker_FC5___,User,3.25E-08
HuAgeMSNDsplitRnaseq_07,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,4.35E-08
HuAgeMSNDsplitRnaseq_08,newoligoBYoFC5__,User,9.72E-08
HuAgeMSNDsplitRnaseq_15,PSVZbyQSVZ_Morizur_FC5___,User,1.39E-07
HuAgeMSNDsplitRnaseq_18,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,2.00E-07
HuAgeMSNDsplitRnaseq_07,QNSCbyPNSC_Ben_FC5___,User,4.49E-07
HuAgeMSNDsplitRnaseq_04,neuronBYoFC5__,User,4.66E-07
HuAgeMSNDsplitRnaseq_01,qnpBYtap_Mukherjee_FC5___,User,9.43E-07
HuAgeMSNDsplitRnaseq_27,neuronBYoFC5__,User,1.23E-06
HuAgeMSNDsplitRnaseq_24,QNSCbyPNSC_Ben_FC5___,User,4.29E-06
HuAgeMSNDsplitRnaseq_24,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,6.20E-06
HuAgeMSNDsplitRnaseq_08,MyeOligoByothers_Zhang_Cuffdiff2FCover20__,User,7.39E-06
HuAgeMSNDsplitRnaseq_14,npcBYnsc_Walker_FC5___,User,7.45E-06
HuAgeMSNDsplitRnaseq_07,PGBObyQGBO_GSE114574_Tejero_FC5___,User,9.47E-06
HuAgeMSNDsplitRnaseq_12,macrophagesBYoFC5__,User,1.16E-05
