"","HuAgeMSNDsplitRnaseq_08....MyeOligoByothers_Zhang_Cuffdiff2FCover20__"
"1","CARNS1"
"2","CNTN2"
"3","CYP2C8"
"4","DAB2IP"
"5","ERMN"
"6","FA2H"
"7","GFRA4"
"8","GJB1"
"9","GPR37"
"10","GPR62"
"11","GPRC5B"
"12","HAPLN2"
"13","JOSD2"
"14","KCNN1"
"15","KLK6"
"16","LDB3"
"17","MAG"
"18","MAL"
"19","MAP7"
"20","MOG"
"21","NDRG1"
"22","NINJ2"
"23","NKX6-2"
"24","NUDT6"
"25","OPALIN"
"26","PLEKHH1"
"27","PRR18"
"28","RGS3"
"29","RTKN"
"30","SLC31A2"
"31","SLC5A11"
"32","TMEM144"
"33","USP54"
