"","HuAgeMSNDsplitRnaseq_11....PGBCbyQGBC_Aulestia_FC5___"
"1","AC006058.1"
"2","AC006058.4"
"3","AC009974.1"
"4","AC022613.1"
"5","AC095052.1"
"6","AC104971.1"
"7","ADAMTS10"
"8","AL591806.3"
"9","AP003469.2"
"10","BX293535.1"
"11","CDCA8"
"12","ID2"
"13","IL34"
"14","LINC00565"
"15","LINC01351"
"16","MANSC1"
"17","MIR3929"
"18","PTER"
"19","RNF128"
"20","RNF207"
"21","RNU6-892P"
"22","SERTAD4-AS1"
"23","SHCBP1"
"24","SLITRK1"
"25","TRAJ22"
"26","TUSC1"
