"","greenyellow....npcBYnsc_Walker_FC5___"
"1","ADAMTS3"
"2","BAIAP2L2"
"3","C2orf80"
"4","CALB2"
"5","CDH7"
"6","DCX"
"7","DNAH1"
"8","DUSP14"
"9","EFCAB6"
"10","EPHA8"
"11","GOLGA8B"
"12","ID2"
"13","IL34"
"14","KDM4D"
"15","MSANTD1"
"16","NTSR1"
"17","OPRK1"
"18","SLC17A6"
"19","SLC26A8"
"20","SLC38A8"
"21","SMIM36"
"22","ST6GAL2"
"23","TMEM150C"
"24","TTLL7"
"25","VSTM5"
"26","ZFC3H1"
"27","ZNF7"
