"","midnightblue....tapBYqnp_Mukherjee_FC5___"
"1","AHI1"
"2","ANGPTL4"
"3","DOK2"
"4","ELOVL5"
"5","ICA1"
"6","LAS1L"
"7","LRIF1"
"8","LYAR"
"9","MIDN"
"10","MRPL18"
"11","N4BP2L1"
"12","NFIL3"
"13","PPP1R3B"
"14","PYCR1"
"15","SNX3"
"16","SPATS2L"
"17","TBP"
"18","TCP1"
"19","TMEM243"
"20","UBE2D3"
"21","XPOT"
"22","YAF2"
"23","ZNF436"
