"","darkgreen....PSVZbyQSVZ_Morizur_FC5___"
"1","BCL7C"
"2","CHRNA4"
"3","DPYSL5"
"4","DSCAML1"
"5","EPHB2"
"6","FAM124A"
"7","FAM13C"
"8","GALNT7"
"9","GPD1"
"10","MCM4"
"11","NKD1"
"12","PLEKHA6"
"13","POLR2F"
"14","RAB8B"
"15","RAI14"
"16","RALGPS1"
"17","SGCD"
"18","SLC24A2"
"19","SMIM13"
"20","TMEM178A"
"21","TRIM36"
"22","WFDC1"
"23","ZC3H8"
"24","ZFR"
