"","HuAgeMSNDsplitRnaseq_01....NewOligoByothers_Zhang_Cuffdiff2FCover20__"
"1","CMPK1"
"2","FLOT1"
"3","FTSJ1"
"4","GNL3"
"5","HK1"
"6","MAPK8IP3"
"7","NCOR1"
"8","NDUFS1"
"9","PARP1"
"10","PARP2"
"11","PRPF19"
"12","SEC61A2"
"13","SENP5"
"14","SMTN"
"15","UBAP2L"
"16","UQCC1"
"17","VDAC2"
"18","YARS2"
"19","ZNF106"
