"","greenyellow....tapBYqnp_Mukherjee_FC5___"
"1","AASDH"
"2","ABCC5"
"3","ASCC2"
"4","CCDC159"
"5","DUT"
"6","GAR1"
"7","KIF17"
"8","KRBOX4"
"9","MRPS36"
"10","MSANTD1"
"11","NOL8"
"12","PCDH10"
"13","PRR7"
"14","RAB36"
"15","RCBTB1"
"16","RDH13"
"17","SENP8"
"18","SFT2D1"
"19","SIRT5"
"20","SLITRK1"
"21","TCAIM"
"22","TRIP13"
"23","ZGPAT"
"24","ZNF831"
