"","HuAgeMSNDsplitRnaseq_18....npcBYnsc_Walker_FC5___"
"1","A2M"
"2","COX4I2"
"3","DUSP15"
"4","FOXQ1"
"5","GIMAP4"
"6","GNG11"
"7","HIGD1B"
"8","HSPA12B"
"9","NPPA"
"10","PALMD"
"11","PDGFRB"
"12","PLA1A"
"13","PTH1R"
"14","RGS5"
"15","ROBO4"
"16","S1PR3"
"17","SLC19A3"
"18","SLC9A3R2"
"19","SOCS2"
"20","SOX7"
"21","TBXA2R"
"22","USHBP1"
"23","ZNF366"
