"","darkgrey....MonoByMicro_Zhang_Cuffdiff2FCover20__"
"1","CALD1"
"2","CCR7"
"3","CD93"
"4","CNN1"
"5","ECM1"
"6","FHL1"
"7","FLNA"
"8","FN1"
"9","HBA1"
"10","HBA2"
"11","IFITM2"
"12","IQGAP1"
"13","ITGA8"
"14","MYOF"
"15","PDLIM7"
"16","PLP2"
"17","RBPMS2"
"18","SERPINB1"
"19","TGFBI"
"20","THBD"
