"","HuAgeMSNDsplitRnaseq_18....nscBYnpc_Walker_FC5___"
"1","ABCG2"
"2","ADRA1D"
"3","ATF7IP2"
"4","CLEC14A"
"5","FES"
"6","FGR"
"7","FLI1"
"8","GIMAP6"
"9","GNA14"
"10","IFI16"
"11","IL4R"
"12","LMO2"
"13","METTL21C"
"14","P2RY6"
"15","PRX"
"16","SCARF1"
"17","SLFN12"
"18","ST8SIA6"
"19","STARD8"
"20","TGFBR2"
"21","TMEM173"
"22","TNFRSF10D"
