"","darkgrey....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","BGN"
"2","CALD1"
"3","CALU"
"4","CAV1"
"5","CAVIN1"
"6","CAVIN3"
"7","CCR10"
"8","CINP"
"9","COL18A1"
"10","COL8A1"
"11","CRIM1"
"12","DUSP5"
"13","ECM1"
"14","ELN"
"15","EMP2"
"16","HSD3B7"
"17","IER3"
"18","LBH"
"19","LMOD1"
"20","LPP"
"21","LTBP1"
"22","MYH9"
"23","MYOF"
"24","PLEKHG2"
"25","PLP2"
"26","ROCK1"
"27","RRAS"
"28","SCUBE3"
"29","SENP6"
"30","SERPINE1"
"31","SUSD2"
