"","tan....PNSCbyQNSC_Ben_FC5___"
"1","APCDD1"
"2","AREG"
"3","CCND1"
"4","DUSP6"
"5","ETV5"
"6","EYA2"
"7","FBLN2"
"8","HK2"
"9","IGFBP5"
"10","KCNK2"
"11","KCNMA1"
"12","KIF22"
"13","KLK10"
"14","MXD3"
"15","NAALADL1"
"16","PLEKHG4"
"17","RAB17"
"18","SFRP2"
"19","TP53I11"
"20","TRIB2"
"21","WEE1"
