"","HuAgeMSNDsplitRnaseq_24....PSVZbyQSVZ_Morizur_FC5___"
"1","ALDH1B1"
"2","ATL3"
"3","CALU"
"4","CCL21"
"5","CINP"
"6","DSTN"
"7","ELN"
"8","ESYT2"
"9","FLNA"
"10","FN1"
"11","GADD45B"
"12","HMG20B"
"13","INO80"
"14","ITGB1"
"15","JAG1"
"16","KCTD10"
"17","LIMA1"
"18","LMNA"
"19","LRRFIP1"
"20","MRPS18A"
"21","MYH9"
"22","NR2F2"
"23","PABPC4L"
"24","PHYKPL"
"25","PLP2"
"26","POLE"
"27","PROCR"
"28","RASSF1"
"29","SNRPB2"
"30","TGFB1I1"
"31","TLN1"
"32","YBX3"
