"","darkgrey....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","AOC3"
"2","CASQ2"
"3","CAV1"
"4","CAVIN1"
"5","CD93"
"6","COL4A2"
"7","DES"
"8","ECM1"
"9","EHD2"
"10","FAM129A"
"11","FN1"
"12","GJA5"
"13","HRCT1"
"14","IFITM2"
"15","IGFBP7"
"16","KCTD10"
"17","MALL"
"18","MSRB3"
"19","MYOF"
"20","PDLIM7"
"21","PROCR"
"22","PTGIS"
"23","RBPMS"
"24","SRGN"
"25","THBD"
"26","TM4SF1"
