"","HuAgeMSNDsplitRnaseq_02....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","ARL4A"
"2","ATPAF2"
"3","CA4"
"4","CDC42EP3"
"5","CNGB1"
"6","DBH"
"7","DENND3"
"8","DPP4"
"9","ECT2"
"10","EPOR"
"11","FAM86C1"
"12","FOXL2"
"13","GSTT2"
"14","IZUMO1"
"15","MCPH1"
"16","MPP7"
"17","MYO1B"
"18","NOS2"
"19","PDCD10"
"20","RPH3AL"
"21","SEMA6D"
"22","TCEA3"
"23","TIRAP"
"24","TPK1"
"25","USP43"
"26","VSIG2"
