"","HuAgeMSNDsplitRnaseq_04....AstroByothers_Zhang_Cuffdiff2FCover20__"
"1","AK7"
"2","AKT2"
"3","ARPP21"
"4","CAPSL"
"5","CCNA1"
"6","CCNO"
"7","CFAP100"
"8","CFAP44"
"9","DDO"
"10","DGKB"
"11","DZIP1L"
"12","FAM216B"
"13","GABRA4"
"14","KIAA2012"
"15","KLRC4-KLRK1"
"16","LRRC23"
"17","LRRC74B"
"18","LRRC9"
"19","MEIS2"
"20","NGEF"
"21","OGFOD1"
"22","PIFO"
"23","PPP1R32"
"24","SEMA4A"
"25","SFRP5"
"26","SNCAIP"
"27","TEX9"
"28","TMEM106C"
