"","HuAgeMSNDsplitRnaseq_06....AstroByothers_Zhang_Cuffdiff2FCover20__"
"1","ARAP1"
"2","ARAP2"
"3","C2"
"4","CALCOCO1"
"5","INTS1"
"6","MAEA"
"7","MRPS35"
"8","NIPA2"
"9","NUPL2"
"10","PMM1"
"11","PNISR"
"12","PPOX"
"13","PRSS56"
"14","RSAD1"
"15","SEPSECS"
"16","SMARCAL1"
"17","SYCP2"
"18","TYK2"
"19","UCKL1"
"20","UCP3"
"21","USP4"
"22","ZNF180"
"23","ZNRF1"
