"","brown....macrophagesBYoFC5__"
"1","ANP32B"
"2","APLP2"
"3","APP"
"4","ATP5IF1"
"5","C4orf48"
"6","CAPNS1"
"7","CHPF"
"8","ENO1"
"9","FTL"
"10","GAPDH"
"11","IFI27L2"
"12","KBTBD11"
"13","LGALS1"
"14","NAP1L1"
"15","POMK"
"16","PRDX4"
"17","PRDX5"
"18","RFK"
"19","RPS8"
"20","S100A6"
"21","SELENOW"
"22","SPTBN1"
"23","TMEM238"
"24","TUBB"
"25","USP1"
"26","YWHAG"
