"","HuAgeMSNDsplitRnaseq_12....qRP_BY_aNP_ThanTrong_up__"
"1","BTG2"
"2","CD164"
"3","CEBPD"
"4","CENPP"
"5","CHST15"
"6","CTSK"
"7","EEPD1"
"8","EGR1"
"9","FZD2"
"10","ID1"
"11","KDELR3"
"12","MARCO"
"13","MFAP4"
"14","PAWR"
"15","PERP"
"16","PLCB3"
"17","SPARC"
"18","STRA6"
"19","TSKU"
"20","VAMP5"
