"","HuAgeMSNDsplitRnaseq_12....macrophagesBYoFC5__"
"1","ACKR3"
"2","ADAMTSL5"
"3","ADSSL1"
"4","AVPI1"
"5","C1R"
"6","CEBPB"
"7","CLEC10A"
"8","DHRS3"
"9","DNAJC10"
"10","EFNB2"
"11","EHD1"
"12","EMP3"
"13","F10"
"14","FAM43A"
"15","FCGR3B"
"16","FLNB"
"17","GYPC"
"18","KIF22"
"19","KLF2"
"20","MARCO"
"21","MARVELD1"
"22","METRNL"
"23","MXD3"
"24","NUCB2"
"25","NUPR1"
"26","PDLIM1"
"27","PFKL"
"28","S100A10"
"29","S100A4"
"30","SLPI"
"31","TPSAB1"
"32","TUBB6"
"33","UAP1"
"34","VAT1"
