"","HuAgeMSNDsplitRnaseq_10....PGBCbyQGBC_Aulestia_FC5___"
"1","AC006058.3"
"2","AC133963.1"
"3","ACOT2"
"4","ACOT4"
"5","AL033527.3"
"6","AL035665.1"
"7","AL049637.2"
"8","AL162413.1"
"9","FAM201B"
"10","FZD6"
"11","LINC01686"
"12","MIR3143"
"13","NKD2"
"14","PPIAP16"
"15","RBM3"
"16","RDM1"
"17","RNU1-51P"
"18","RNU6-1077P"
"19","RPS4XP1"
"20","SH2D4A"
"21","SIGLEC15"
"22","SRSF12"
"23","TOP2A"
"24","TRAJ47"
