"","HuAgeMSNDsplitRnaseq_02....nscBYnpc_Walker_FC5___"
"1","ADAMTS8"
"2","ARHGAP11A"
"3","CACNA2D2"
"4","CRYBB1"
"5","ELFN1"
"6","EPHA10"
"7","EPOR"
"8","FBXO40"
"9","HRH2"
"10","INSM2"
"11","ITPRIPL1"
"12","LIPH"
"13","MFRP"
"14","NEK2"
"15","PATE2"
"16","PLXND1"
"17","RIMBP2"
"18","RNASEL"
"19","SLC43A1"
"20","ST3GAL1"
"21","STKLD1"
"22","TNFRSF11A"
"23","TNFRSF14"
"24","TOX2"
"25","USP43"
"26","VAV3"
"27","ZFHX3"
