"","tan....MacroByMicro_Zhang_Cuffdiff2FCover20__"
"1","ANPEP"
"2","BHLHE40"
"3","C1R"
"4","EFNB2"
"5","EHD1"
"6","EMILIN2"
"7","F10"
"8","FAM43A"
"9","FLNB"
"10","FZD1"
"11","GYPC"
"12","KIF22"
"13","PDLIM1"
"14","PRG4"
"15","S100A10"
"16","S100A4"
"17","SLC7A2"
"18","SLPI"
"19","SMPDL3A"
"20","TPSAB1"
"21","TUBB6"
