"","magenta....PSVZbyQSVZ_Morizur_FC5___"
"1","ACBD6"
"2","ADCY3"
"3","AFF3"
"4","AGAP1"
"5","AGTPBP1"
"6","AMD1"
"7","ARL3"
"8","ARMC8"
"9","ASAP1"
"10","BRSK2"
"11","C11orf74"
"12","C15orf41"
"13","C1QL1"
"14","C7orf31"
"15","C9orf85"
"16","CAMTA1"
"17","CCDC58"
"18","CCNY"
"19","CDH22"
"20","CDK6"
"21","CDKAL1"
"22","CHCHD6"
"23","CHMP6"
"24","CMC1"
"25","CMC2"
"26","CNTLN"
"27","COMMD1"
"28","COMMD10"
"29","CRADD"
"30","CSNK1G2"
"31","CTBP2"
"32","CUX1"
"33","DBNL"
"34","DDX10"
"35","DIS3L2"
"36","DMAP1"
"37","DPYD"
"38","DYM"
"39","EDA"
"40","EEFSEC"
"41","EIF4B"
"42","ELF2"
"43","EML3"
"44","EPN1"
"45","EVL"
"46","EXOSC1"
"47","EYA1"
"48","FAF1"
"49","FAM133B"
"50","FAM214A"
"51","FAM229B"
"52","FANCB"
"53","FBXL19"
"54","FGD4"
"55","FKBP3"
"56","FOXP1"
"57","FRMD4B"
"58","FUS"
"59","GALNT2"
"60","GDAP1"
"61","GMDS"
"62","GRB10"
"63","HSCB"
"64","IGF1R"
"65","IKZF2"
"66","IRAK1BP1"
"67","IRF2"
"68","KIF16B"
"69","KNSTRN"
"70","LIMD1"
"71","LIPT2"
"72","LRFN2"
"73","LRP6"
"74","LRRC20"
"75","MAGOH"
"76","MAPK8"
"77","MAPKAP1"
"78","MED27"
"79","MEIS1"
"80","METTL8"
"81","MGMT"
"82","MLLT1"
"83","MPLKIP"
"84","MRPS10"
"85","MTSS1"
"86","MTX2"
"87","NAA40"
"88","NACC1"
"89","NCK2"
"90","NEURL1B"
"91","NMNAT3"
"92","NR2F6"
"93","NSMCE2"
"94","NT5DC1"
"95","NUDT13"
"96","ORC6"
"97","PACS1"
"98","PARD3"
"99","PBX1"
"100","PDSS2"
"101","PIBF1"
"102","PIP5K1B"
"103","PKIG"
"104","PPP6R1"
"105","PREP"
"106","PRIM1"
"107","PRIM2"
"108","PRR12"
"109","PSPC1"
"110","PTPRK"
"111","PWWP2A"
"112","R3HDM2"
"113","RAD51B"
"114","RAD51C"
"115","RALGAPA2"
"116","RAP1B"
"117","RCN1"
"118","RECQL4"
"119","REXO1"
"120","RNF220"
"121","RPS6KA2"
"122","SCAF1"
"123","SETSIP"
"124","SH3BGRL"
"125","SH3KBP1"
"126","SKA2"
"127","SLC25A13"
"128","SLC35C2"
"129","SLC35E3"
"130","SLC39A11"
"131","SLX4IP"
"132","SMARCE1"
"133","SMCHD1"
"134","SNX29"
"135","SPATA5"
"136","SPATS2"
"137","SPIDR"
"138","SRBD1"
"139","SRGAP2B"
"140","SRGAP2C"
"141","SRPK2"
"142","SSBP1"
"143","SSH2"
"144","SSU72"
"145","STAG1"
"146","STYX"
"147","SYNE2"
"148","SYT9"
"149","SZRD1"
"150","TAMM41"
"151","TANGO6"
"152","TBCA"
"153","TBL1XR1"
"154","TCF12"
"155","THOC7"
"156","TIMM22"
"157","TIMM8A"
"158","TMEM242"
"159","TPD52"
"160","TTC23"
"161","TTC27"
"162","TTC28"
"163","UBAP2"
"164","UBE2E3"
"165","UBE2G2"
"166","UBE3D"
"167","URGCP"
"168","UTP23"
"169","VPS29"
"170","WDR20"
"171","WDR25"
"172","WIZ"
"173","XKR6"
"174","YBEY"
"175","ZBTB45"
"176","ZDHHC14"
"177","ZFP62"
"178","ZFP69"
"179","ZHX2"
"180","ZNF266"
"181","ZNF277"
"182","ZNF286B"
"183","ZNF362"
"184","ZNF397"
"185","ZNF704"
