"","HuAgeMSNDsplitRnaseq_13....npcBYnsc_Walker_FC5___"
"1","AFF2"
"2","C9orf131"
"3","CHST8"
"4","CTXND1"
"5","DOK6"
"6","FIBCD1"
"7","FNDC1"
"8","GPC5"
"9","HIST1H4K"
"10","LUZP2"
"11","MYO16"
"12","NKAIN3"
"13","PDE9A"
"14","PLPP4"
"15","PROKR2"
"16","PTGER3"
"17","RNF223"
"18","SAMD3"
"19","SFRP4"
"20","SLC16A2"
"21","UPP2"
