"","turquoise....MonoByMicro_Zhang_Cuffdiff2FCover20__"
"1","ARG2"
"2","ARHGAP26"
"3","CADM3"
"4","CCDC92"
"5","CD300E"
"6","CD44"
"7","CHI3L1"
"8","CITED4"
"9","DHCR24"
"10","DIO1"
"11","GCAT"
"12","GCHFR"
"13","GPAT3"
"14","HLA-DQB2"
"15","INTS5"
"16","KCNK3"
"17","MRVI1"
"18","MSANTD3"
"19","MTCL1"
"20","P2RY4"
"21","PALM3"
"22","PDE5A"
"23","PFKP"
"24","PGLYRP1"
"25","PLCB1"
"26","SH2D2A"
"27","SLC4A11"
"28","SYNE1"
"29","TRBC2"
"30","VPREB3"
