"","pink....NeuronByothers_Zhang_Cuffdiff2FCover20__"
"1","CACNA1A"
"2","CX3CL1"
"3","DOC2A"
"4","DYNC1I1"
"5","ELAVL2"
"6","ELAVL4"
"7","GNRH1"
"8","IQSEC3"
"9","KCNT1"
"10","LRRC8D"
"11","MACF1"
"12","MRAP2"
"13","NSG1"
"14","PCBP4"
"15","PGAP2"
"16","PHLDB1"
"17","PRKAR1B"
"18","RADIL"
"19","RXFP1"
"20","SLC17A7"
"21","SLC6A7"
"22","SNAP91"
"23","SRRM4"
"24","SYT3"
"25","SYT7"
"26","TMTC4"
"27","TRIM2"
"28","TTC7B"
"29","UNC5A"
"30","XKR7"
