"","green....NeuronByothers_Zhang_Cuffdiff2FCover20__"
"1","ACSL4"
"2","ADAM22"
"3","CAMSAP1"
"4","CD1D"
"5","CSNK1G1"
"6","EPHA5"
"7","FBXO8"
"8","GPC1"
"9","ITGA3"
"10","LIMK2"
"11","MAST2"
"12","MCUB"
"13","MEGF6"
"14","NFASC"
"15","NRCAM"
"16","PLCXD3"
"17","PPFIA1"
"18","PRUNE2"
"19","SPDEF"
"20","STK40"
"21","STX3"
"22","TH"
"23","VWA5A"
