"","HuAgeMSNDsplitRnaseq_14....MicroByMacro_Zhang_Cuffdiff2FCover20__"
"1","ACHE"
"2","ADRA2A"
"3","ARMCX2"
"4","BSN"
"5","CDK5R1"
"6","CHGA"
"7","CRYAB"
"8","DKK3"
"9","ENC1"
"10","FAM241B"
"11","GALNT16"
"12","NOS1"
"13","OLFML2B"
"14","STMN2"
"15","SULT1A2"
"16","SYNGR1"
"17","TBC1D9"
"18","TTC9"
"19","VAT1L"
"20","WHRN"
