"","HuAgeMSNDsplitRnaseq_07....NeuronByothers_Zhang_Cuffdiff2FCover20__"
"1","ACBD7"
"2","AGPAT3"
"3","AKAP7"
"4","ARFIP1"
"5","ARVCF"
"6","BPHL"
"7","CHPT1"
"8","DOCK7"
"9","FIBIN"
"10","GABRA2"
"11","GPM6B"
"12","HLTF"
"13","KIAA0319"
"14","LGI1"
"15","METTL7A"
"16","PLEC"
"17","PLEKHA7"
"18","PPP1R13B"
"19","PSD2"
"20","RUNX1T1"
"21","SGCE"
"22","SORBS1"
"23","TEAD1"
"24","TMEM184B"
"25","WIF1"
