"","red....PNSCbyQNSC_Ben_FC5___"
"1","ADAMTS7"
"2","ATAD5"
"3","B4GALNT4"
"4","BCAT1"
"5","BVES"
"6","CCNE1"
"7","CHTF18"
"8","DCK"
"9","DCTD"
"10","FAM78A"
"11","FBXO48"
"12","FRAT1"
"13","HAUS8"
"14","IMPDH1"
"15","IPO11"
"16","KAT2A"
"17","LBR"
"18","MAP4K1"
"19","MCM3"
"20","MCM5"
"21","MFNG"
"22","NCAPD2"
"23","NCAPG2"
"24","NRM"
"25","POLA2"
"26","POLD1"
"27","POLE2"
"28","PRKCB"
"29","RBL1"
"30","RCC2"
"31","RCN3"
"32","SLC1A5"
"33","TMPO"
"34","UHRF1"
"35","WDR90"
