"","greenyellow....astroBYoFC5__"
"1","ADAMTS3"
"2","ADRB1"
"3","ARGLU1"
"4","C17orf58"
"5","CHST1"
"6","CROT"
"7","GRAMD4"
"8","GRHL1"
"9","GRIA2"
"10","GRIFIN"
"11","HECTD2"
"12","HRH1"
"13","KIF7"
"14","MANSC1"
"15","NR2F1"
"16","ODF2L"
"17","PCDH10"
"18","PRELID3A"
"19","PTCH2"
"20","RAB36"
"21","RASA2"
"22","SLC25A42"
"23","TTC14"
"24","UPF3B"
"25","WNT7A"
"26","WSB1"
"27","ZFC3H1"
