"","HuAgeMSNDsplitRnaseq_06....MicroByMono_Zhang_Cuffdiff2FCover20__"
"1","ADAMTSL2"
"2","BLNK"
"3","C1QA"
"4","C1QB"
"5","C1QC"
"6","C3AR1"
"7","CD33"
"8","FAM81A"
"9","FMNL3"
"10","GAL3ST4"
"11","GAS6"
"12","HEXB"
"13","HPGDS"
"14","LGMN"
"15","LHFPL2"
"16","LRRC2"
"17","LTC4S"
"18","MLXIPL"
"19","MMP2"
"20","P3H2"
"21","P3H4"
"22","PALD1"
"23","PLEKHH2"
"24","PLXDC2"
"25","PPP1R26"
"26","RHOBTB1"
"27","SLC2A5"
"28","SLCO2B1"
"29","STAB1"
"30","TMEM119"
"31","TREM2"
"32","ZNF566"
