"","HuAgeMSNDsplitRnaseq_09....NeuronByothers_Zhang_Cuffdiff2FCover20__"
"1","ADGRG2"
"2","AFAP1"
"3","AGFG1"
"4","CAMTA1"
"5","CHCHD6"
"6","CUX1"
"7","GPR83"
"8","KCNIP1"
"9","KCTD8"
"10","LPIN2"
"11","MAPK8"
"12","MICU1"
"13","MTSS1"
"14","PDZD2"
"15","PRKCZ"
"16","PTPRK"
"17","RBMS1"
"18","RCAN2"
"19","SH3KBP1"
"20","SIK3"
"21","SPOCK1"
"22","SRGAP3"
"23","TPD52"
"24","UBAP2"
"25","WIPF2"
