"","HuAgeMSNDsplitRnaseq_22....npcBYnsc_Walker_FC5___"
"1","AGPAT4"
"2","APLP1"
"3","ARHGEF16"
"4","CNTNAP4"
"5","CPA2"
"6","DAPK2"
"7","FAM131C"
"8","FAM222A"
"9","HEYL"
"10","ITGA2"
"11","LGI3"
"12","MYO1A"
"13","PEX5L"
"14","PPP1R16B"
"15","RAI14"
"16","RPS6KL1"
"17","SEC14L5"
"18","ST18"
"19","STMN4"
"20","TMC7"
"21","TMEM151A"
"22","TMEM178A"
"23","VSTM4"
