InputCategories,UserDefinedCategories,Type,CorrectedPvalues
black,astroBYoFC5__,User,1.45E-142
red,MicrogliByothers_Zhang_Cuffdiff2FCover20__,User,8.61E-113
turquoise,PSVZbyQSVZ_Morizur_FC5___,User,4.85E-109
red,nscBYnpc_Walker_FC5___,User,2.68E-92
lightgreen,endoBYoFC5__,User,8.24E-85
cyan,neuronBYoFC5__,User,3.65E-80
lightgreen,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,3.79E-80
black,QSVZbyPSVZ_Morizur_FC5___,User,5.87E-56
black,AstroByothers_Zhang_Cuffdiff2FCover20__,User,2.43E-45
red,microgliaBYoFC5__,User,8.03E-39
pink,myeoligoBYoFC5__,User,1.86E-26
cyan,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,9.82E-24
red,PSVZbyQSVZ_Morizur_FC5___,User,1.15E-18
black,MicroByMono_Zhang_Cuffdiff2FCover20__,User,5.38E-17
tan,QNSCbyPNSC_Ben_FC5___,User,1.94E-15
darkgrey,qnpBYtap_Mukherjee_FC5___,User,6.94E-14
darkgrey,endoBYoFC5__,User,5.43E-13
brown,PSVZbyQSVZ_Morizur_FC5___,User,1.04E-12
tan,PGBCbyQGBC_Aulestia_FC5___,User,2.87E-12
black,qRP_BY_aNP_ThanTrong_up__,User,8.59E-12
darkgrey,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,1.17E-09
green,monocytesBYoFC5__,User,1.42E-09
tan,endoBYoFC5__,User,1.51E-09
pink,npcBYnsc_Walker_FC5___,User,3.04E-09
darkgrey,PGBCbyQGBC_Aulestia_FC5___,User,2.57E-08
tan,npcBYnsc_Walker_FC5___,User,3.14E-08
black,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,4.20E-08
pink,newoligoBYoFC5__,User,9.39E-08
midnightblue,PSVZbyQSVZ_Morizur_FC5___,User,1.34E-07
lightgreen,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,1.93E-07
black,QNSCbyPNSC_Ben_FC5___,User,4.34E-07
yellow,neuronBYoFC5__,User,4.50E-07
turquoise,qnpBYtap_Mukherjee_FC5___,User,9.11E-07
white,neuronBYoFC5__,User,1.19E-06
darkgrey,QNSCbyPNSC_Ben_FC5___,User,4.14E-06
darkgrey,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,5.99E-06
pink,MyeOligoByothers_Zhang_Cuffdiff2FCover20__,User,7.13E-06
cyan,npcBYnsc_Walker_FC5___,User,7.20E-06
black,PGBObyQGBO_GSE114574_Tejero_FC5___,User,9.14E-06
tan,macrophagesBYoFC5__,User,1.12E-05
cyan,MicroByMono_Zhang_Cuffdiff2FCover20__,User,2.00E-05
green,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,2.86E-05
tan,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,6.25E-05
darkgrey,MonoByMicro_Zhang_Cuffdiff2FCover20__,User,9.48E-05
black,PGBCbyQGBC_Aulestia_FC5___,User,9.64E-05
lightcyan,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,0.000101713
darkgrey,macrophagesBYoFC5__,User,0.000106324
cyan,qRG_BY_aRG_ThanTrong_up__,User,0.000134099
tan,EndotheByothers_Zhang_Cuffdiff2FCover20__,User,0.000135183
tan,MacroByMicro_Zhang_Cuffdiff2FCover20__,User,0.000219639
tan,qnpBYtap_Mukherjee_FC5___,User,0.000343154
darkgrey,npcBYnsc_Walker_FC5___,User,0.000587844
tan,MicroByMacro_Zhang_Cuffdiff2FCover20__,User,0.0006313
turquoise,PGBObyQGBO_GSE114574_Tejero_FC5___,User,0.001102847
darkorange,nscBYnpc_Walker_FC5___,User,0.001498457
lightgreen,QNSCbyPNSC_Ben_FC5___,User,0.001607685
black,PNSCbyQNSC_Ben_FC5___,User,0.002138614
darkorange,monocytesBYoFC5__,User,0.003717957
red,macrophagesBYoFC5__,User,0.003762165
darkgreen,QSVZbyPSVZ_Morizur_FC5___,User,0.00589454
pink,QSVZbyPSVZ_Morizur_FC5___,User,0.006538812
lightgreen,nscBYnpc_Walker_FC5___,User,0.00695639
red,qRP_BY_aNP_ThanTrong_up__,User,0.010408029
darkgreen,npcBYnsc_Walker_FC5___,User,0.010805731
tan,nscBYnpc_Walker_FC5___,User,0.012276018
black,qnpBYtap_Mukherjee_FC5___,User,0.015116329
yellow,NeuronByothers_Zhang_Cuffdiff2FCover20__,User,0.020139513
cyan,PGBCbyQGBC_Aulestia_FC5___,User,0.02135507
yellow,npcBYnsc_Walker_FC5___,User,0.025807699
turquoise,QGBObyPGBO_GSE114574_Tejero_FC5___,User,0.035567833
red,monocytesBYoFC5__,User,0.053004708
