"","astro_SRR1033783","astro_SRR1033784","endo_SRR1033795","endo_SRR1033796","macrophages_SRR1106141","macrophages_SRR1106142","macrophages_SRR1106143","macrophages_SRR1106169","macrophages_SRR1106186","macrophages_SRR1106188","microglia_SRR1033793","microglia_SRR1033794","microglia_SRR1106118","microglia_SRR1106122","microglia_SRR5483445","microglia_SRR5483446","microglia_SRR5483447","monocytes_SRR5483448","monocytes_SRR5483449","monocytes_SRR5483450","monocytes_SRR5483451","monocytes_SRR5483452","myeoligo_SRR1033791","myeoligo_SRR1033792","neuron_SRR1033785","neuron_SRR1033786","newoligo_SRR1033789","newoligo_SRR1033790","preoligo_SRR1033787","preoligo_SRR1033788"
"","Min.   :0.0000  ","Min.   :0.0000  ","Min.   : 0.00000  ","Min.   : 0.00000  ","Min.   :0.0000  ","Min.   :0.00000  ","Min.   :0.000  ","Min.   :0.00000  ","Min.   :0.0000  ","Min.   :0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  ","Min.   : 0.000  ","Min.   : 0.000  ","Min.   : 0.0000  ","Min.   : 0.0000  "
"","1st Qu.:0.1096  ","1st Qu.:0.1166  ","1st Qu.: 0.03657  ","1st Qu.: 0.03238  ","1st Qu.:0.0000  ","1st Qu.:0.00000  ","1st Qu.:0.000  ","1st Qu.:0.00000  ","1st Qu.:0.0000  ","1st Qu.:0.0000  ","1st Qu.: 0.1193  ","1st Qu.: 0.1361  ","1st Qu.: 0.0000  ","1st Qu.: 0.0000  ","1st Qu.: 0.1849  ","1st Qu.: 0.1470  ","1st Qu.: 0.1172  ","1st Qu.: 0.0000  ","1st Qu.: 0.1414  ","1st Qu.: 0.2547  ","1st Qu.: 0.3450  ","1st Qu.: 0.4288  ","1st Qu.: 4.803  ","1st Qu.: 4.785  ","1st Qu.: 0.4411  ","1st Qu.: 0.3019  ","1st Qu.: 3.890  ","1st Qu.: 3.505  ","1st Qu.: 0.7614  ","1st Qu.: 0.5957  "
"","Median :1.2170  ","Median :0.8943  ","Median : 0.40950  ","Median : 0.30156  ","Median :0.1122  ","Median :0.08523  ","Median :0.000  ","Median :0.04657  ","Median :0.1261  ","Median :0.1287  ","Median : 0.9200  ","Median : 1.1599  ","Median : 0.2005  ","Median : 0.4414  ","Median : 0.7751  ","Median : 0.6692  ","Median : 0.9492  ","Median : 0.4189  ","Median : 0.7346  ","Median : 1.0781  ","Median : 0.9227  ","Median : 1.0222  ","Median : 6.687  ","Median : 6.403  ","Median : 1.7864  ","Median : 1.6135  ","Median : 5.772  ","Median : 5.332  ","Median : 2.0006  ","Median : 2.1660  "
"","Mean   :2.0374  ","Mean   :1.8784  ","Mean   : 1.39459  ","Mean   : 1.36626  ","Mean   :1.1884  ","Mean   :1.22434  ","Mean   :1.150  ","Mean   :1.19306  ","Mean   :1.1208  ","Mean   :1.2301  ","Mean   : 1.5271  ","Mean   : 1.7001  ","Mean   : 0.8411  ","Mean   : 1.1588  ","Mean   : 1.6150  ","Mean   : 1.6595  ","Mean   : 1.8334  ","Mean   : 1.9272  ","Mean   : 1.9445  ","Mean   : 2.0294  ","Mean   : 1.8921  ","Mean   : 1.8766  ","Mean   : 6.916  ","Mean   : 6.753  ","Mean   : 2.3193  ","Mean   : 2.2164  ","Mean   : 5.999  ","Mean   : 5.584  ","Mean   : 2.6213  ","Mean   : 2.7725  "
"","3rd Qu.:3.2182  ","3rd Qu.:3.1331  ","3rd Qu.: 2.10132  ","3rd Qu.: 2.09478  ","3rd Qu.:1.5469  ","3rd Qu.:1.71164  ","3rd Qu.:1.643  ","3rd Qu.:1.71635  ","3rd Qu.:1.6130  ","3rd Qu.:1.6379  ","3rd Qu.: 2.4418  ","3rd Qu.: 2.6079  ","3rd Qu.: 0.9408  ","3rd Qu.: 1.5072  ","3rd Qu.: 2.2504  ","3rd Qu.: 2.3754  ","3rd Qu.: 2.9453  ","3rd Qu.: 3.8188  ","3rd Qu.: 3.2188  ","3rd Qu.: 3.3087  ","3rd Qu.: 2.8632  ","3rd Qu.: 2.8278  ","3rd Qu.: 8.970  ","3rd Qu.: 8.899  ","3rd Qu.: 3.4895  ","3rd Qu.: 3.3832  ","3rd Qu.: 8.059  ","3rd Qu.: 7.772  ","3rd Qu.: 4.0018  ","3rd Qu.: 4.3632  "
"","Max.   :9.8044  ","Max.   :9.5569  ","Max.   :11.66832  ","Max.   :11.93677  ","Max.   :8.5209  ","Max.   :8.06750  ","Max.   :8.100  ","Max.   :7.61431  ","Max.   :7.0848  ","Max.   :7.5771  ","Max.   :10.6272  ","Max.   :10.3911  ","Max.   :12.8912  ","Max.   :11.1380  ","Max.   :11.1092  ","Max.   :11.3118  ","Max.   :11.7629  ","Max.   :11.9888  ","Max.   :12.8249  ","Max.   :12.5414  ","Max.   :15.4587  ","Max.   :15.2923  ","Max.   :14.648  ","Max.   :14.374  ","Max.   :12.9975  ","Max.   :12.6161  ","Max.   :14.821  ","Max.   :12.866  ","Max.   :11.5607  ","Max.   :12.1968  "
