"","F","M"
"IFNWP4",0.681095241476463,0.111013200111294
"IFNWP5",0.45320001495421,0.0446212343737877
"IFNWP9",0.650201672948731,0.163158182848235
"IFRD1",2.94791995473009,2.62021720872742
"IFRD2",2.90694435535347,3.46718358259743
"IFT122",2.41982355012126,2.05174776225192
"IFT140",1.3651367904893,1.28702820840949
"IFT172",3.28377618691364,2.46662013454659
"IFT20",3.60656854594043,4.3592040244436
"IFT22",3.22528925140557,3.49825134948547
"IFT27",3.1568060309691,3.3610331047635
"IFT43",1.38471971014657,0.734920533334303
"IFT46",2.31335983602637,1.99688989558831
"IFT52",1.62473594633307,1.28286096489056
"IFT57",2.22900595471063,2.04667578663714
"IFT74",1.24354339535996,0.538809931212216
"IFT81",1.54825433496763,0.913579447677991
"IFT88",1.94553696312823,0.969786842125215
"IGBP1",2.68173433451056,2.69627140558371
"IGBP1P3",0.0693524630140993,0.11511058258519
"IGBP1P4",0.448713253369596,0.336532368654768
"IGDCC3",0.818838617033867,0.818184623190893
"IGDCC4",1.7565649671657,1.22838639657825
"IGF1R",2.22579276923866,0.381611899180746
"IGF2",1.78906492004977,0.778333275931182
"IGF2R",2.55573651197602,1.2917176772899
"IGFALS",0.404036707450426,0.24474261048021
"IGFBP1",0.267914628573162,0.375353761382014
"IGFBP2",1.49175617897526,1.58462607638439
"IGFBP3",3.70063284947971,3.5798186316089
"IGFBP4",2.89960641445217,3.09569726445598
"IGFBP5",5.22831999713185,4.00748029929454
"IGFBP6",3.33006753361971,3.57702840543997
"IGFBP7",2.35524027476552,2.12393662489272
"IGFBP7-AS1",0.279056581391216,0.0814485690525683
"IGFBPL1",0.602897913501708,0.295837505606669
"IGFL2-AS1",0.639184748636377,0.216426900959791
"IGFL4",1.95249743804771,1.68493231113216
"IGFLR1",0.601346878778823,0.740984313097739
"IGFN1",0.339668629406363,0.502095745477506
"IGHA1",0.912211774710036,0.424212427627406
"IGHA2",0.202886784500965,0.118381094296806
"IGHD1-14",0,0.0543257357172748
"IGHD1-26",0.265885803712068,0
"IGHD2-2",0.16110595344389,0
"IGHD2OR15-2A",0.372733691661204,0.0361889491711833
"IGHD3-3",0.330277756764038,0
"IGHD3-9",0.315830976289468,0
"IGHD5OR15-5B",0.166402928773121,0
"IGHD6-25",0.418409941083558,0
"IGHG1",1.9129060725415,0.523224775728885
"IGHG2",0.929696360568467,0.334987784290368
"IGHG3",1.12760772816071,0.126017586166176
"IGHG4",0.617797025020934,0.310796364179965
"IGHGP",1.13101548990693,0.0892199535969933
"IGHJ1",0.161764349931455,0
"IGHJ1P",0.0956269219902454,0.0142923292160184
"IGHJ2",0.653241956192275,0
"IGHJ3",0.379130008305931,0.0279339002534032
"IGHJ3P",0.621676844411588,0.0567372413847139
"IGHJ4",0.711081534605757,0.021788295190408
"IGHJ5",1.02388101454629,0.037375507285029
"IGHJ6",0.820804728977677,0.0217660914811505
"IGHM",0.971242705047508,0.252172454609116
"IGHMBP2",2.13053250086302,2.09357185873255
"IGHV1-18",0.628259234232628,0.0134916864747356
"IGHV1-2",0.440318528321741,0.0342581968991837
"IGHV1-24",0.448817374323276,0.0319294762586741
"IGHV1-3",0.43412981245925,0.0163379604580343
"IGHV1-69-2",0.202319419907094,0.0107653559479077
"IGHV1-69D",0.204973372524093,0.03195147749714
"IGHV1OR15-6",0.150727159841623,0.300288638508091
"IGHV2-26",0.410183454639298,0.017171661860513
"IGHV2-5",0.629799735128276,0.0367628450905503
"IGHV2-70",0.429653910265818,0.0472211496418269
"IGHV2-70D",0.390292696677884,0.0396559550140141
"IGHV3-11",0.494379235420897,0.0185399380970412
"IGHV3-13",0.424239304746788,0.0338367880672798
"IGHV3-15",0.784992753998995,0.131803373015355
"IGHV3-20",0.354762776267671,0.0113988667483268
"IGHV3-21",0.430456777264549,0.0337534844328768
"IGHV3-23",0.989349118577536,0.0691448395932512
"IGHV3-30",0.634064036101361,0.0224532189055176
"IGHV3-33",0.436662887342545,0.0134259185024602
"IGHV3-38",0.115316519955143,0.00981355573987848
"IGHV3-43",0.317873568505693,0.0162713976685885
"IGHV3-48",0.556967654908614,0.00657231748420408
"IGHV3-49",0.436719743971579,0.0167649526161223
"IGHV3-53",0.261754408948106,0.00909150593756174
"IGHV3-62",0.191527683312915,0
"IGHV3-64",0.153935368269052,0
"IGHV3-64D",0.530023686341501,0
"IGHV3-66",0.220585642410353,0.00153692223828006
"IGHV3-7",0.904306513867754,0.0707105458296789
"IGHV3-72",0.216899260807225,0.0391156463467611
"IGHV3-74",0.397147423023103,0.0647264112612718
"IGHV4-28",0.384564658377192,0.0521126736639796
"IGHV4-31",0.309058074167705,0.0445720987670961
"IGHV4-34",0.682489978244074,0.0446896038698252
"IGHV4-39",0.918489597370963,0.0730208165261985
"IGHV4-4",0.806880279341526,0.0560064302116965
"IGHV4-55",0.231670077767588,0.024135738577913
"IGHV4-59",0.293796069631027,0.0553399132340467
"IGHV4-61",0.178840433863552,0.0466655120566658
"IGHV5-10-1",0.242899924544414,0.00716838086339625
"IGHV5-51",0.643794048343217,0.0282738928851942
"IGHV6-1",0.332050409346776,0.0441889268902459
"IGIP",6.28398905771407,6.99192560913122
"IGJP1",0.194024569196844,0.0448104710755131
"IGKJ1",1.10787262920991,1.05961413562407
"IGKV1-12",0.086346671859157,0.126480654078706
"IGKV1-16",0.506842531432336,0.0372162756283348
"IGKV1-17",0.274527121871034,0.0160948020675374
"IGKV1-27",0.505782286735723,0.0244681475335512
"IGKV1-5",1.24665046884882,0.161254858501958
"IGKV1-6",0.648632902506096,0.0326248662561067
"IGKV1-8",0.0999028378636884,0.0356864265239674
"IGKV1-9",0.660921997717955,0.0802694002475448
"IGKV1D-13",0.408727096379847,0.0558845036041936
"IGKV1D-43",0.226746991519792,0.0263794561260511
"IGKV1D-8",0.722390130359493,0.0871534746492657
"IGKV1OR1-1",0.0978724136335777,0.432567659057137
"IGKV1OR10-1",0.396760781426647,0.0282527352081156
"IGKV1OR2-108",0.194341366993359,0.0231528136332974
"IGKV1OR2-118",0.130202266759471,0.0054414161920227
"IGKV1OR2-6",0.157086786029166,0
"IGKV2-23",0.0375383725213863,0.0447713963522221
"IGKV2-24",0.325595666660342,0.0773585641389492
"IGKV2-30",0.453290750854665,0.0447806249441006
"IGKV3-11",0.970110209074522,0.155641246574118
"IGKV3-15",0.921184362448611,0.0979326416992447
"IGKV3-20",0.992722413018674,0.13436558322754
"IGKV3-7",0.235244403339732,0.0017790777598196
"IGKV3D-11",0.523774659658539,0
"IGKV3D-15",0.168623196335869,0.0124077210170305
"IGKV3D-20",0.536224957945736,0.0414281590137374
"IGKV3D-7",0.247952828457032,0.0574002457616645
"IGKV4-1",1.18190251571362,0.12241182731666
"IGKV6-21",0.0643551998657561,0.0390343209190798
"IGLC2",1.86649205236662,0.765861901684753
"IGLC3",1.66310840864122,0.446418418941358
"IGLC6",0.309216800338978,0
"IGLC7",0.48794535057895,0
"IGLL3P",0.418463434501101,0.355279269331262
"IGLL5",0.218054588610888,0.0160761270443068
"IGLON5",2.22981015942919,2.81582702207698
"IGLV1-36",0.429420588407579,0.0977682476586071
"IGLV1-40",0.922804809353939,0.123338760817042
"IGLV1-41",0.338072035102007,0.211496625257659
"IGLV1-44",0.419966962053106,0.0402923800342405
"IGLV1-47",0.574140441143461,0.0174969078359083
"IGLV1-50",1.39791653354759,0.750646803373121
"IGLV1-51",3.03535513259871,2.29988128210771
"IGLV2-11",0.721299771138372,0.0716801280949149
"IGLV2-14",0.635693992247336,0.109701641782702
"IGLV2-18",0.274018091960492,0.0190296448117881
"IGLV2-23",0.573663420280327,0.0314921770434552
"IGLV2-33",0.0685099159234236,0.0134264980069888
"IGLV2-8",0.510405718588595,0.0329483257151716
"IGLV3-1",0.823860413894659,0.0670152547780004
"IGLV3-10",0.216270399736115,0.00967141975755685
"IGLV3-19",1.08049624702022,0.0284256224814301
"IGLV3-21",0.555315833505912,0.0268271922385966
"IGLV3-25",0.477540270372496,0.0231640852776295
"IGLV3-27",0.375183719846292,0.00489589050889614
"IGLV4-3",0.212463111205473,0.00349978835684806
"IGLV5-37",0.415931411632918,0.0416737997553856
"IGLV5-52",4.42200953833678,4.12549417010391
"IGLV7-35",0.140424868714997,0.0515093800764112
"IGLV7-43",0.223418195870617,0.00818129111329131
"IGLV7-46",0.358842236138991,0.035042015205512
"IGLV8OR8-1",0.128856303954596,0.0289318023014425
"IGLV9-49",0.180274340931926,0.10414692164217
"IGLVI-38",0.197711345715474,0.0449784377539208
"IGLVI-42",0.0933780961913606,0.0439058272801628
"IGLVIVOR22-1",0.800896059823742,0.717315283272483
