"","GSE67333","GSE68719","GSE53697","GSE64810","GSE100297"
"A1BG",0.908768612077915,0.337402610912729,0.436754396818633,0.466841825520929,1.06191512842271
"A2M",4.58256993535485,3.83905836459316,3.86082855622419,3.98361344584892,5.38295758956349
"A2M-AS1",3.09599824453265,1.34934169093278,2.42647474036289,1.80207283567158,2.44010861974586
"A2ML1",0.98620494234858,0.301637379231724,0.525817739118131,0.300632009818704,0.483617485223677
"A2MP1",0.978671225074444,0.287324862020255,0.680838130802261,0.454432832894339,0.54364665106659
"A4GALT",1.02745985175946,1.08352417002796,0.465617343653068,0.824500896372673,1.99766492871254
"A4GNT",0.178556166117671,0.0995560134770597,0.0881118175297591,0.147704888033867,0.644056867560634
"AAAS",2.40053145948105,3.38541803100109,1.92202277078911,3.45846737678279,3.46695400469849
"AACS",3.60606591380421,2.10815072045962,2.29025775213056,2.4753072692798,1.63996163759388
"AADAT",2.09714988930293,1.8150152117434,1.95482455844868,2.25555548385822,1.78712503976205
"AAED1",1.8185848903584,1.46743189580827,1.28786683442171,1.58239406173409,2.18674385737641
"AAGAB",3.59060820615273,1.85775814686235,2.37409060590919,2.43383801892127,1.9251755054442
"AAK1",3.96512847665742,1.93486629109799,3.09278671864354,2.50050024099968,2.1533061246258
"AAMP",6.37782507325575,5.84671539252587,4.4515957444989,6.13196052515166,5.55206980722119
"AANAT",0.900243407189158,0.632427442932627,0.319528891829189,0.44638954001528,0.930406898006687
"AAR2",1.9194652763871,1.8547946165261,1.43772566440649,2.02102948906815,1.92820275453532
"AARD",1.08829677719534,0.45636592516111,0.283504130993735,0.815193563737022,0.765944335575285
"AARS",6.60348788600298,4.79895179260439,4.20986125971977,5.1674023647663,4.7934593687653
"AASDH",2.45500997653731,1.1927367451733,2.09763044357376,1.50415902878016,1.8924440302725
"AASDHPPT",2.59631481031493,0.625469743556539,2.01251131757207,1.06419914892519,1.12420189686623
"AASS",2.52885794403919,0.827385029290128,2.14849573840144,1.08514348973283,1.97578073673213
"AATBC",2.80757170119402,0.480782646449302,1.51098666306394,0.58292037124009,1.48874104234139
"AATF",2.94719805234762,1.18800793668265,1.3113471482976,1.20739943946392,1.75532751788929
"AATK",4.99625303753236,4.40183615827435,3.70348446325795,4.40846858135788,4.30466053638983
