"","CON","AD","PD","HD","MS"
"A1BG",0.547844228861179,0.680621161600161,0.337402610912729,0.335957811266819,1.16025209134699
"A2M",4.01595760714671,4.37088950721859,3.83905836459316,4.02420581953459,5.72693330832886
"A2M-AS1",1.9701003947259,2.8657190355217,1.34934169093278,1.73343743174923,2.56248925051029
"A2ML1",0.330660194760962,0.792464168762429,0.301637379231724,0.396399792136818,0.47094434853057
"A2MP1",0.517516901809533,0.840956489135902,0.287324862020255,0.459200876513435,0.38467651922893
"A4GALT",0.765057438311638,0.731593955399181,1.08352417002796,1.07237367871709,2.31007977398367
"A4GNT",0.173013874091367,0.148903017967521,0.0995560134770597,0.154244967450178,0.623800380855777
"AAAS",3.20934344526095,2.24425627653344,3.38541803100109,3.33463443464556,3.49954802983854
"AACS",2.49446962337682,2.88922401795321,2.10815072045962,2.21921954668868,1.67988574857254
"AADAT",2.16722274575266,2.21409073148221,1.8150152117434,2.18819518060762,1.58600221015831
"AAED1",1.56438301211138,1.54877534536927,1.46743189580827,1.61835114838042,2.34893257693854
"AAGAB",2.46123881847612,2.9593020313084,1.85775814686235,2.24152675974519,2.10555213767013
"AAK1",2.61120566800213,3.56488760859836,1.93486629109799,2.39629786602364,2.35138191700864
"AAMP",5.88652377895486,5.21488707140608,5.84671539252587,6.01991676757877,5.72465317186574
"AANAT",0.473310419540668,0.543739885232081,0.632427442932627,0.44299738622159,1.11436634751954
"AAR2",1.9136839598474,1.75215160870245,1.8547946165261,1.96795817980982,2.01796898756125
"AARD",0.806287661904903,0.470345464843253,0.45636592516111,0.718054926949012,0.748633686079495
"AARS",5.11519836012622,5.14534663056685,4.79895179260439,4.98498011747791,4.93774020890589
"AASDH",1.60621472554923,2.38804371500842,1.1927367451733,1.53107665819143,2.06698745928423
"AASDHPPT",1.28748205704343,2.36424100485643,0.625469743556539,0.894702453750979,1.21039464454508
"AASS",1.33294797882467,2.48694551848868,0.827385029290128,1.07265537231289,1.92600669499717
"AATBC",0.893630436941354,2.13433907600066,0.480782646449302,0.461525422653976,1.45994752828032
"AATF",1.3325655403351,1.9817981558709,1.18800793668265,1.20609495821379,1.77994431780597
"AATK",4.52193432401288,4.31667430998978,4.40183615827435,3.89084436152674,3.55577580159682
"AB015752.1",0.10788941182114,0.562879010640049,0.0279508529000086,0.0394183614506312,0.0704276182665326
"ABAT",1.8202938890038,2.67104509840904,1.25780850344177,1.38523658318451,2.07878427024032
"ABCA1",1.01734359645002,2.55400945584906,0.71567972151117,0.97668849232695,2.21839591099504
"ABCA10",0.935218442922001,2.52682802246199,0.41877115456724,0.596854533435817,0.858292860026309
"ABCA17P",0.757811006820459,1.56871904691223,0.560017501847596,0.53611871121122,0.952449178699797
"ABCA2",7.19806511965256,7.20036908065365,7.20012666525189,6.63294846293353,7.04854059100851
"ABCA3",3.60027344600582,3.72989887524576,3.33429595562093,3.31092112053984,3.60394894950467
"ABCA5",2.37827315307494,3.73341529700299,1.56362628876552,2.03468218468727,2.21495604602194
"ABCA6",0.926959711571989,2.832518930991,0.412388646529459,0.565331720229125,2.24071831593124
"ABCA7",2.54192864904429,2.01831612526845,2.92115962927761,2.70635905030402,3.23813466829338
"ABCA8",2.09056168439987,3.31624826744732,1.81079561808648,1.78148468335671,2.8996930978291
"ABCB1",0.812228754286788,1.11715267338258,0.699722346379146,0.916658214566461,1.29498509862781
"ABCB10",1.84630369145892,2.58574418052466,1.42327891508864,1.69261751190337,1.75179289588461
"ABCB7",0.968308409867886,1.827359029588,0.719774980954543,0.879126769366664,1.39181158416576
"ABCB8",3.68855133023171,3.61947553805641,3.45783404845491,3.29878392890292,3.81992327362762
"ABCB9",2.00701942029668,2.26169135359561,1.65110786209847,1.76820570024493,1.72374965923167
"ABCC1",0.679971284113112,1.32184023476938,0.395975250375656,0.416277716672792,1.85911283165258
"ABCC10",2.88947599305632,2.97741834268842,2.92694002730932,2.61389274770324,3.08013815733905
"ABCC12",0.53396861224653,0.295593729619099,0.314303656819027,0.489928080207562,0.00738240060017389
"ABCC3",0.309972283675413,0.343006683819659,0.246214600815674,0.183974709673075,3.48527142474715
"ABCC4",0.33736784593561,1.10278879004356,0.157917331328387,0.243526737425375,0.812639212398632
"ABCC5",3.07194482005674,3.42804128489289,2.78967940162787,2.93197564590419,2.67832834168047
"ABCC6",0.222565828590708,0.487825202320282,0.1685364548492,0.211476312948678,1.17490964168656
"ABCC8",2.38526702388857,2.62921274838295,2.15481997857936,2.03552230624422,1.61708115010718
"ABCC9",0.88330260387297,1.82901922169379,0.700895336068135,0.73052125793043,1.04069607276697
"ABCD1",0.570968916493114,0.637924702088079,0.555308325286735,0.511156441252852,1.2879434978264
"ABCD2",1.23164176223519,2.01162510845148,0.688317033290867,0.974907147706793,0.426177369200028
"ABCD3",1.78590138735446,2.63895171796568,1.34747000840701,1.65827272132642,1.80087337197723
"ABCD4",3.21267725324805,3.24051252035392,3.51117280958173,3.23404015631852,4.11990298188704
"ABCE1",0.830659903158019,1.79233257977997,0.327323414344661,0.528306278470889,0.867230462591364
"ABCF1",3.2876267757164,3.08122687969483,2.96165072217995,3.13685766842602,3.73075248718226
"ABCF2",4.00963396531455,3.98289114966322,3.71319474307258,3.9836123897752,3.69200302110402
"ABCF2P1",0.31246243390314,1.62238073979828,0.0165233789870391,0.0695095336624597,0.132209154212137
"ABCF3",5.13058513985955,4.92720535187209,4.83273924658875,4.91192176218442,4.80407494551233
"ABCG1",1.17524364971658,2.32159618757645,0.938471526353585,0.904787449561523,1.3198905707294
"ABCG2",1.09917857636301,1.04142923081582,0.866561603610978,1.04330926843305,1.48855449461166
"ABCG4",2.99796948199307,2.55843606005941,2.683468045545,2.86436868888397,1.82532364935204
"ABCG8",0.35984201099215,0.72902233771477,0.245414219780327,0.290734546696335,0.302225729913496
"ABHD1",1.42532047388042,1.62103532879401,1.30265232963663,1.12523455995074,2.02283598655155
"ABHD10",3.93955100304171,3.66577313001284,3.56867577838025,4.1079756123971,3.63260901144852
"ABHD11",4.46917378735437,3.18804461214006,4.51257617302913,4.32022830739277,4.07106773867155
"ABHD11-AS1",0.357630644929101,1.2047633251747,0.221779996195852,0.200167731021928,1.26159395419377
"ABHD12",2.77894775831567,2.54339419970384,2.56675917627292,2.64666634012849,2.52566067463878
"ABHD13",2.97355456723932,3.78275885778969,2.35116213667893,3.13976918970248,2.34225777900667
"ABHD17A",5.81628588885629,4.90020995121662,6.12128460296101,5.78156732364895,5.12886684092174
"ABHD17AP4",0.332760336504953,0.205513914942782,0.229610087639298,0.337717991911528,0.108692595670066
"ABHD17B",2.3901053029175,3.10695048459624,2.02202062528055,2.21351332953919,1.72049605285064
"ABHD17C",1.32271722615518,1.62470851704319,1.14583589102978,1.4128230515745,1.19041851538012
"ABHD18",1.33203580524691,2.13898620118423,0.853779121959495,0.97824820529825,1.99591386238791
"ABHD2",2.57533683413693,3.81342380632858,1.94465938033623,2.32884286970809,2.53989591419
"ABHD3",1.19598951591216,1.6354411179411,1.20882319663826,1.27215428077318,2.9852272082344
"ABHD4",2.71024232404501,2.40551018276568,2.98008712806934,2.93122235146344,4.50725787855771
"ABHD5",1.82626070650484,2.50285531446574,1.51237979085061,1.76734267090516,2.2104439008582
"ABHD6",2.37683065502932,3.00729170812792,2.02330047892009,2.11995702959032,2.00668666447498
"ABHD8",2.41764892780543,0.71910314503418,3.0046257740127,2.97782445392507,2.29191989284156
"ABI1",2.38841534861752,3.2995082593303,1.90738478826174,2.38477329677752,2.35090604432724
"ABI2",0.686570419501778,2.40956334245647,0.180744520858331,0.264740860568834,0.83789341929262
"ABI3",1.29520233348948,1.87464024711655,1.48492880363929,1.2519627615428,2.86587787076355
"ABI3BP",0.401833794031314,0.873143142409127,0.135218819250203,0.268052752682579,1.84804185710683
"ABL1",1.64570945521545,2.37083530541976,1.50389489032249,1.35199204389835,2.37447518287439
"ABL2",1.60591012730429,2.8697977001531,1.11868497282914,1.2881598654962,1.85145968497095
"ABLIM1",2.49084927013954,3.37869513528286,2.1060027724098,2.30652259016548,3.52084791922885
"ABLIM2",1.84195108506276,2.41804226281706,1.45052510231395,1.70529600617661,1.61362322124268
"ABO",0.787480667609568,0.984761263448392,0.745979346367001,0.731381007931108,1.99239111186685
"ABR",3.44037650684989,3.69170772659616,3.10508925747395,3.26438392240151,3.65322646429948
"ABRA",0.373926995689708,0.995502561772453,0.195210574690923,0.22103752205437,0.0368457987664198
"ABRACL",2.30832624052345,1.80542059643801,1.91043317714685,2.50942940988699,1.57288137757783
"ABRAXAS1",0.385632789803172,0.691402423442427,0.272809628803121,0.371148492373786,0.569868698017636
"ABRAXAS2",2.06697502859962,2.46101084045386,1.71305580129473,2.0706154014864,2.14016258076335
"ABT1",3.94736904051101,3.24605075092861,3.90538381934236,4.17231467037846,3.65499990500992
"ABTB1",5.56708150232659,4.37832186655469,5.82711898774591,5.67057206241063,4.93950334014508
"ABTB2",0.735138830406086,1.1591242735724,0.641165574287423,0.514035977194585,1.01916435423295
"AC000036.1",0.15818183075074,0.364591061721713,0.104334077047693,0.137544184410816,0.29015738753793
"AC000058.1",0.325100186699846,1.80187922854499,0.0261157245524482,0.029789657631744,0.142308814677673
"AC000067.1",0.14901612304108,0.0369985639855385,0.135804140085997,0.27849091146058,0.0708888686571046
"AC000068.1",0.947534587672805,1.44657021631975,0.593565724369245,0.810031528491962,1.79628043862126
"AC000403.1",2.26547217819827,1.87675658247983,1.47591770380767,2.16241450254759,0.514443982371365
"AC002056.1",0.0450942961806341,0.316658787496193,0.0143600246822995,0.0354248854360105,0.0670868568925554
"AC002064.1",0.524484521317511,1.02604557520204,0.282003189981915,0.468820124984153,0.90031016959817
"AC002069.1",0.0846327367964199,0.409486909657041,0,0,0
"AC002069.2",0.145857892580992,0.776396632529434,0.00486469539414501,0,0
"AC002076.2",0.0891126304031239,0.105776113815093,0.161942108915547,0.217698999424724,0.30084790749234
"AC002091.2",0.0975040588599159,0.287193931026205,0.0563209735003335,0.0768794822658614,0.762232544761587
"AC002116.2",0.519967778637306,0.248653710829203,0.557798944136178,0.564255914580834,0.794878339216624
"AC002310.2",0.49000039541107,0.540071730915944,0.532747393492317,0.37936238102145,0.660783892364546
"AC002310.4",1.59776459137573,1.41452496517149,1.59051421435136,1.55634785698793,2.38378052072736
"AC002310.5",0.739414397035161,1.08135820404711,0.593621000697893,0.590954795762178,1.00231763221019
"AC002347.1",0.332026121495138,0.59258596802353,0.17360334771098,0.126300342124393,0.940338498936829
"AC002368.1",0.0671631864227159,0.252015890572846,0.0210547524726955,0.0375258964456902,0.0491214822786849
"AC002383.1",0.120562533968255,0.554037110310591,0.0176957446052512,0.0403514157129339,0.0797113517737348
"AC002401.4",0.276738857701315,0.379866009252711,0.424795029646499,0.58802675540687,0.577916007856292
"AC002428.2",0.914697128793744,0.88473865592462,1.44949448851302,1.52387490510691,0.734663758417813
"AC002451.1",0.397369742459017,0.869755331084127,0.292557755059025,0.337016537482774,0.914823638107106
"AC002451.2",0.126225880009525,0.208411192483875,0.0167432608712969,0.0247948459749627,1.39749348015258
"AC002460.1",0.130933986313095,0.974108528750777,0.00307609519337151,0.0425007653747785,0.0478765249221082
"AC002467.1",2.42470814279148,1.72391797021134,2.5011312675622,2.71308465434587,2.63792486346404
"AC002504.1",0.106283270775359,0.256958003369849,0.0597426235271781,0.0170090664599878,0
"AC002511.1",0.200134233405015,0.316122154995617,0.0836582754276106,0.0731504266326442,0.110922074451537
"AC002511.2",0.481723654303913,0.180803684326998,0.216975896517083,0.371155979873826,0.0572763388440342
"AC002519.2",0.32288260052476,0.312377324765528,0.253294118389018,0.464186838729169,0.0771011382272939
"AC002524.1",4.78714577799524,4.04704112240734,4.34890010504041,5.1276634142545,3.73417271392362
"AC002540.1",0.603442710346335,1.48441298075656,0.360165249836157,0.250294697184252,0.377989368360705
"AC002984.1",0.827459576825378,1.33364312026346,1.03465912203622,0.430255091411118,1.21248186748967
"AC003002.2",1.43237918451404,1.59716253115018,1.3024356904778,1.38493071266915,1.44639551862699
"AC003005.2",0.622945424268489,0.74824756844345,0.235254619993849,0.430939884313783,0.608009400912941
"AC003035.1",0.298020946573505,0.683351930962294,0.116384326572618,0.201621930681606,0.933221987959412
"AC003043.2",0.102297789921181,0.138058012582578,0.0532163799723195,0.0741771868810578,1.03956189720724
"AC003084.1",0.173241879145913,0.816599377166065,0.0237331384714999,0.0133702319313571,0.130867940662667
"AC003101.1",0.146941034637602,0.999779820811589,0.0145737212942568,0.0178897708156757,0.240355694902557
"AC003101.2",0.417123944668338,0.846527756432808,0.323220196166742,0.322914069230808,0.789629249457057
"AC003102.1",2.89097595656231,1.81791242049233,2.96070506615937,3.01821399245376,3.21004851170648
"AC003682.1",0.763139201863653,2.22516112872143,0.205578682127072,0.235376446156455,2.25864720823676
"AC003965.1",0.783173936466853,0.358766167848171,0.576026869991063,0.735424509139326,0.754300110613669
"AC003985.2",0.244241705911792,0.192589658826425,0.168086720787872,0.151576468813918,0.0570763786165784
"AC003986.1",0.315567372878104,0.96454216687818,0.109072241292167,0.217516474386048,0.238514580229587
"AC004022.1",0.14302340422762,0.850895461355081,0.0135282010929711,0.064146237485966,0.144238330631373
"AC004022.2",0.090477384065928,0.208928044538557,0.037225292884831,0,0
"AC004023.1",1.21310851051053,1.66155862974061,0.728356691894588,1.06658446236908,0.740297063734174
"AC004069.1",1.26317102480018,1.04349693765868,0.900979513609727,1.30400269794873,1.51690923883894
"AC004076.1",1.47749751035222,2.0408196059507,1.10961327634552,1.33274180019656,2.50404058362569
"AC004112.1",0.930453678740688,1.44747053925438,0.697902303890324,0.769729887966331,1.06645959032095
"AC004130.1",1.07282816994295,0.601553380207218,1.04671892048904,1.29477204892403,1.26435730843973
"AC004148.1",0.078617848881571,0.29726251229903,0.032660500517362,0.192767971414309,0.156660624084657
"AC004156.1",0.692026068893335,0.561538258752114,0.348571977680703,0.523339049116803,1.63567960859949
"AC004160.1",0.128470058136806,0.401613412169785,0.0248031048966754,0.0528554321838099,0.0671681106491461
"AC004221.1",2.23460746043899,1.62321857972705,2.09073653096201,2.14274745433276,1.44889839002731
"AC004233.1",0.768953198511698,0.684564614072104,0.59219789492086,0.580526795453205,1.14569926568831
"AC004233.2",0.200511394545754,0.534613916519346,0.0949590906527749,0.0781127817124573,0.272130106186947
"AC004233.3",3.23829106396446,2.2734046904629,3.29124215676774,3.61506485492948,2.49513532053725
"AC004233.4",1.67731782371214,1.19861200977704,1.72096257134708,1.9233945692513,2.39654338216377
"AC004241.1",0.276539452369831,0.641466630118175,0.257301886082311,0.208669800061353,0.285211033490168
"AC004257.1",0.334700309313696,0.142585341609767,0.139589983241406,0.0726833314213345,2.94218281582858
"AC004264.2",0.784212190165552,1.08300086576641,0.719042970124716,0.61001803734412,2.23450879467323
"AC004383.1",2.56677529908383,3.90564437839724,2.05136600423299,1.54745704650834,3.71068610451759
"AC004408.1",0.187330400606038,0.28377260326461,0.0773879854863318,0.10720453924857,0.0172453758619946
"AC004448.2",0.52112117359784,0.97324634370319,0.483870330383186,0.55138807702816,0.678291948140617
"AC004449.1",1.66910028477369,1.16732256780328,2.09588947935677,2.17861825625689,2.17542223453988
"AC004453.2",1.60524161509947,2.48879768783141,1.12742796961795,1.14329470455121,1.0340706474477
"AC004471.1",0.516095911401762,0.200157948482216,0.509625103167279,0.526696576927163,0.790319858305614
"AC004471.2",0.332366975794382,0.466112348038167,0.417309671909775,0.322461386027702,0.590533499857109
"AC004477.1",1.41423204103815,2.08351906790724,1.17827783978188,1.15533451184499,2.89347295970397
"AC004477.3",3.11636374854447,3.22645394186835,2.81067429752293,3.10054248105652,3.53747083938557
"AC004486.1",0.350428602775876,1.10883659327094,0.131931750001807,0.210910303178338,0.230322249242662
"AC004522.2",0.493749080570224,0.88016157992827,0.239641446182129,0.282021246363584,0.307742026899249
"AC004528.1",0.123622136817392,0.0419468061151533,0.00613385077932667,0,1.4622701243073
"AC004540.1",0.389404004473259,1.1817917609764,0.141034373005744,0.177135733781555,0.464480010846132
"AC004540.2",0.585412549148411,0.778054439411274,0.405251939714197,0.61516797211411,0.654776552887657
"AC004543.1",0.373284542847145,0.515049428390313,0.191499574694565,0.445210856809739,0.329582527664923
"AC004552.1",0.390097274093494,0.167718535693576,0.408365823525066,0.930660297688418,0
"AC004556.1",0.464260769423639,0.512528993590727,0.726525055781126,0.601690288458719,0.221309875206347
"AC004590.1",1.26681836134264,0.475889826688414,1.11534447905495,1.14561222184361,0.443123486494194
"AC004656.1",6.00536537430471,6.13142834543862,5.31113526403437,6.04720477730887,5.20115416176002
"AC004674.2",0.132572338288638,0.483805630444475,0.0300108806957188,0.0884218219770809,0
"AC004690.2",0.802113295632512,1.65356580316712,0.463549513306362,0.242194018206384,0.5244397454615
"AC004691.2",0.143566525808418,0.679975418544937,0.0419583141405162,0.0425952302816655,0.207138854626574
"AC004771.3",1.56530665686651,1.83090189486296,1.16851738736842,1.02098495017274,1.91267498356316
"AC004775.1",0.512313699019284,1.05025568255155,0.559751655456249,0.653789666664904,0.714835154311738
"AC004801.6",0.728963384944837,0.644972304261739,0.820620286725939,1.00977258853085,0.899840773489401
"AC004801.7",0.0926131664974328,0.00853947305112604,0.000604548876022269,0.00189952161972839,1.28216124333035
