"","hippocampus","prefrontal_cortex","optic_chiasm","hippocampus","prefrontal_cortex","optic_chiasm"
"hippocampus",1,1,1,NA,NA,0
"prefrontal_cortex",1,1,1,NA,NA,0
"optic_chiasm",1,1,1,0,0,NA
