"","CON","AD","PD","HD","MS","CON","AD","PD","HD","MS"
"CON",1,0.999171374872396,0.999926410085843,0.999178091543478,0.996033011069143,NA,0,0,0,0
"AD",0.999171374872396,1,0.999484864780838,0.999233284998904,0.995433922062331,0,NA,0,0,0
"PD",0.999926410085843,0.999484864780838,1,0.99952380479762,0.99634321047487,0,0,NA,0,0
"HD",0.999178091543478,0.999233284998904,0.99952380479762,1,0.995083048706969,0,0,0,NA,0
"MS",0.996033011069143,0.995433922062331,0.99634321047487,0.995083048706969,1,0,0,0,0,NA
