"","hippocampus","prefrontal_cortex","optic_chiasm"
"A1BG",0.506096891760755,0.506096891760755,0.506096891760755
"A2M",4.07764091106062,4.07764091106062,4.07764091106062
"A2M-AS1",1.90897050705472,1.90897050705472,1.90897050705472
"A2ML1",0.384630140084543,0.384630140084543,0.384630140084543
"A2MP1",0.485175721828547,0.485175721828547,0.485175721828547
"A4GALT",0.935523200931041,0.935523200931041,0.935523200931041
"A4GNT",0.168764515546806,0.168764515546806,0.168764515546806
"AAAS",3.18315451671649,3.18315451671649,3.18315451671649
"AACS",2.37680524771599,2.37680524771599,2.37680524771599
"AADAT",2.07631004911614,2.07631004911614,2.07631004911614
"AAED1",1.57932758736761,1.57932758736761,1.57932758736761
"AAGAB",2.33192459074207,2.33192459074207,2.33192459074207
"AAK1",2.51486543118254,2.51486543118254,2.51486543118254
"AAMP",5.82616878897334,5.82616878897334,5.82616878897334
"AANAT",0.534430688005841,0.534430688005841,0.534430688005841
"AAR2",1.89713657651368,1.89713657651368,1.89713657651368
"AARD",0.681716958855156,0.681716958855157,0.681716958855157
"AARS",5.02293611537831,5.02293611537831,5.02293611537831
"AASDH",1.59850057332056,1.59850057332056,1.59850057332056
"AASDHPPT",1.18641799766079,1.18641799766079,1.18641799766079
"AASS",1.31866289558976,1.31866289558976,1.31866289558976
"AATBC",0.881195185471044,0.881195185471045,0.881195185471044
"AATF",1.36230490680858,1.36230490680858,1.36230490680858
"AATK",4.34446200182851,4.34446200182851,4.34446200182851
"AB015752.1",0.12322713062377,0.12322713062377,0.12322713062377
"ABAT",1.72509836517498,1.72509836517498,1.72509836517498
"ABCA1",1.14080647832389,1.14080647832389,1.14080647832389
"ABCA10",0.924406766738013,0.924406766738012,0.924406766738013
"ABCA17P",0.767924825047466,0.767924825047466,0.767924825047466
"ABCA2",7.10813865753071,7.10813865753071,7.10813865753071
"ABCA3",3.51157505778877,3.51157505778877,3.51157505778877
"ABCA5",2.2752933327973,2.2752933327973,2.2752933327973
"ABCA6",0.996026945866371,0.996026945866371,0.996026945866371
"ABCA7",2.62433747415046,2.62433747415046,2.62433747415046
"ABCA8",2.13330474231575,2.13330474231575,2.13330474231575
"ABCB1",0.85135428846891,0.851354288468909,0.85135428846891
"ABCB10",1.79967760329452,1.79967760329452,1.79967760329452
"ABCB7",1.000594663096,1.000594663096,1.000594663096
"ABCB8",3.57781994091289,3.57781994091289,3.57781994091289
"ABCB9",1.90774631306944,1.90774631306944,1.90774631306944
"ABCC1",0.685461868842708,0.685461868842708,0.685461868842708
"ABCC10",2.87196737240148,2.87196737240148,2.87196737240148
"ABCC12",0.436352831189648,0.436352831189648,0.436352831189648
"ABCC3",0.399724303406651,0.399724303406651,0.399724303406651
"ABCC4",0.376811018957447,0.376811018957447,0.376811018957446
"ABCC5",3.00935903835373,3.00935903835373,3.00935903835373
"ABCC6",0.270847398309651,0.270847398309651,0.270847398309651
"ABCC8",2.27739113202892,2.27739113202892,2.27739113202892
"ABCC9",0.918910466210937,0.918910466210937,0.918910466210937
"ABCD1",0.592058326039059,0.59205832603906,0.592058326039059
"ABCD2",1.12052410889446,1.12052410889446,1.12052410889446
"ABCD3",1.75505500322681,1.75505500322681,1.75505500322681
"ABCD4",3.31780218791465,3.31780218791465,3.31780218791465
"ABCE1",0.770816045443147,0.770816045443147,0.770816045443147
"ABCF1",3.19036167955613,3.19036167955613,3.19036167955613
"ABCF2",3.92652885042489,3.92652885042489,3.92652885042489
"ABCF2P1",0.332660787142247,0.332660787142247,0.332660787142247
"ABCF3",5.00060554080745,5.00060554080745,5.00060554080745
"ABCG1",1.200433890443,1.200433890443,1.200433890443
