"","CON","AD","PD","HD","MS","F","M","77","82","85","87","64","65","66","68","70","74","75","79","80","81","83","84","88","89","90","94","95","100","106","36","40","43","44","46","48","50","52","53","54","55","56","57","58","59","60","61","62","63","69","71","72","73","76","78","86","91","93","97","99","hippocampus","prefrontal_cortex","optic_chiasm","CON","AD","PD","HD","MS","F","M","77","82","85","87","64","65","66","68","70","74","75","79","80","81","83","84","88","89","90","94","95","100","106","36","40","43","44","46","48","50","52","53","54","55","56","57","58","59","60","61","62","63","69","71","72","73","76","78","86","91","93","97","99","hippocampus","prefrontal_cortex","optic_chiasm"
"CON",1,0.999171374872396,0.999926410085843,0.999178091543478,0.996033011069143,0.999926410085843,0.999926410085843,0.986889498030154,0.993500852691426,0.997964366652404,0.991156391974746,0.997443442886524,0.988921222417075,0.997622543812321,0.997832086611619,0.99616398867501,0.998128995016601,0.996434811389034,0.997746737578007,0.997451340591113,0.993841905529439,0.997366335095354,0.99548906332581,0.996740004886065,0.994710377526903,0.991412311821864,0.992695534289911,0.991588696450808,0.99389269004316,0.988377198129145,0.989754847453326,0.993380213834509,0.993715541446747,0.986412929464913,0.993982064148905,0.993515772808552,0.995135256654785,0.992487615685188,0.991724446961026,0.994884204160292,0.994992516673612,0.996033011069143,0.998232372865623,0.988568426923363,0.986817775925002,0.990679825652388,0.997377497580452,0.994172912482936,0.99083737208174,0.997710705403433,0.982279597354772,0.992963416331864,0.996234652444934,0.994692652239689,0.988435712552112,0.988756028690248,0.994623837767991,0.996407930059744,0.986045575876827,0.990387162175861,0.999926410085843,0.999926410085843,0.999926410085843,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AD",0.999171374872396,1,0.999484864780838,0.999233284998904,0.995433922062331,0.999484864780838,0.999484864780838,0.985136184414032,0.994672095849145,0.99709424562005,0.991736512122212,0.996841594817504,0.988831574389942,0.996840834122626,0.997448561856075,0.995296406650715,0.997717733256675,0.995991888473772,0.996933643985212,0.997464639249674,0.993223901835149,0.996776208975099,0.994824334491227,0.996683528402109,0.993259334102521,0.989523715674356,0.992295476019232,0.991289509043744,0.994142518786134,0.988269083146669,0.989364611093732,0.993111121437899,0.99319590608099,0.985865429007404,0.99365816009037,0.993545848091767,0.995185791102,0.990916686706045,0.991140369873226,0.994617032784463,0.995004053341307,0.995433922062331,0.998171326743725,0.987967776885731,0.987225626955974,0.990382928632497,0.996954785322565,0.992087924954408,0.990062585827092,0.997232941566766,0.982033434906424,0.993075280403012,0.995389562236868,0.993872068699389,0.987867880878932,0.987772044906799,0.993936357499846,0.996742186634713,0.98585726061028,0.990729927117789,0.999484864780838,0.999484864780837,0.999484864780838,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"PD",0.999926410085843,0.999484864780838,1,0.99952380479762,0.99634321047487,1,1,0.986747526841344,0.994009501893676,0.997959774976078,0.991368783454583,0.997489620240957,0.988880823798157,0.997608261514442,0.997959194929782,0.996098623909876,0.998193119734859,0.996557572181921,0.997708955504001,0.997709125533766,0.993997917640841,0.997355939288258,0.995453789885431,0.996963857551033,0.994362630976155,0.991322910387382,0.992729305255709,0.991784007624581,0.994180124022578,0.988617762567572,0.989659175827236,0.993420645528077,0.993703149654233,0.986339854995025,0.994061176907832,0.993865416859634,0.995410313940191,0.992195867022712,0.991722745560021,0.995031026881231,0.995211631307115,0.99634321047487,0.998264373888049,0.98841227162886,0.987354061006402,0.990832663749567,0.99753249824448,0.993789220516964,0.990801562123613,0.997761687546534,0.982539819135943,0.993075543893034,0.996001665860149,0.994685154581126,0.988418047114016,0.988599908484525,0.994646733096189,0.996560392762528,0.986002973425836,0.990625337849547,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0
"HD",0.999178091543478,0.999233284998904,0.99952380479762,1,0.995083048706969,0.99952380479762,0.99952380479762,0.985738308594515,0.994133560867581,0.997446316054965,0.990862825133338,0.996948250800264,0.988048442691458,0.996835501108339,0.997733063164904,0.995364085987984,0.99762647715181,0.9964094345402,0.997015656699665,0.997643253862554,0.993434415956316,0.996778856824656,0.994724726196301,0.996704772497401,0.993015476226196,0.99112282141025,0.992276363287665,0.991545013488295,0.993835428938687,0.988647940058761,0.988465099248178,0.992803920726706,0.993136453411112,0.985159394541176,0.993232538812297,0.994329606511125,0.995794448938192,0.991035067115291,0.991128489793605,0.994624256803611,0.995005267076615,0.995083048706969,0.998354722641386,0.987350887082433,0.988371457513114,0.990355390044797,0.997385838892073,0.992480542461872,0.99008424940136,0.997224683006678,0.98312979477961,0.992670228263105,0.994641084479123,0.993934897081475,0.987413575313948,0.988069281539797,0.993972049424476,0.996217963038499,0.984983735052072,0.990350985453434,0.999523804797619,0.99952380479762,0.999523804797619,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS",0.996033011069143,0.995433922062331,0.99634321047487,0.995083048706969,1,0.99634321047487,0.99634321047487,0.985318334689456,0.990699998776567,0.994343256859818,0.987443124321619,0.994095273871324,0.984017071292057,0.994647460542034,0.994015843532231,0.992411586464311,0.994683457039939,0.992399090341178,0.994139544464529,0.994165333117451,0.992499466054071,0.993179639324275,0.991699550921579,0.993841911648255,0.990182499201299,0.987808627396301,0.988299040019246,0.988800971025383,0.991633062349351,0.984804511811775,0.986139760806921,0.989404614719543,0.989299535419632,0.983557998603535,0.991641003815472,0.989644554699439,0.990263680076356,0.988485717015962,0.987781258761244,0.991842224310701,0.991641344822085,1,0.990712271715577,0.983961712510491,0.982947415813353,0.988130889244277,0.99381815044298,0.990536740801109,0.987314202005438,0.994101687176162,0.977207652842726,0.988363354150066,0.992105284679678,0.991865742795666,0.985846423664983,0.983023358220099,0.991661164801483,0.991630545548219,0.982129544366203,0.986804525019435,0.99634321047487,0.99634321047487,0.99634321047487,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"F",0.999926410085843,0.999484864780838,1,0.99952380479762,0.99634321047487,1,1,0.986747526841344,0.994009501893676,0.997959774976077,0.991368783454582,0.997489620240957,0.988880823798156,0.997608261514442,0.997959194929782,0.996098623909876,0.998193119734859,0.996557572181921,0.997708955504001,0.997709125533766,0.993997917640841,0.997355939288257,0.995453789885431,0.996963857551033,0.994362630976155,0.991322910387382,0.992729305255709,0.991784007624581,0.994180124022578,0.988617762567572,0.989659175827237,0.993420645528077,0.993703149654233,0.986339854995024,0.994061176907832,0.993865416859634,0.995410313940191,0.992195867022712,0.991722745560021,0.995031026881231,0.995211631307115,0.99634321047487,0.998264373888049,0.988412271628861,0.987354061006401,0.990832663749567,0.99753249824448,0.993789220516964,0.990801562123612,0.997761687546534,0.982539819135943,0.993075543893034,0.996001665860149,0.994685154581126,0.988418047114016,0.988599908484525,0.994646733096189,0.996560392762528,0.986002973425836,0.990625337849547,1,1,1,0,0,NA,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA
"M",0.999926410085843,0.999484864780838,1,0.99952380479762,0.99634321047487,1,1,0.986747526841345,0.994009501893676,0.997959774976078,0.991368783454583,0.997489620240957,0.988880823798157,0.997608261514442,0.997959194929782,0.996098623909876,0.998193119734859,0.996557572181921,0.997708955504002,0.997709125533766,0.993997917640842,0.997355939288259,0.995453789885431,0.996963857551034,0.994362630976155,0.991322910387383,0.992729305255709,0.991784007624581,0.994180124022579,0.988617762567572,0.989659175827236,0.993420645528077,0.993703149654233,0.986339854995025,0.994061176907832,0.993865416859635,0.995410313940192,0.992195867022712,0.991722745560021,0.995031026881231,0.995211631307115,0.99634321047487,0.998264373888049,0.988412271628861,0.987354061006402,0.990832663749567,0.997532498244481,0.993789220516965,0.990801562123613,0.997761687546534,0.982539819135943,0.993075543893034,0.99600166586015,0.994685154581127,0.988418047114017,0.988599908484525,0.99464673309619,0.996560392762528,0.986002973425836,0.990625337849547,1,1,1,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0
"77",0.986889498030154,0.985136184414032,0.986747526841344,0.985738308594515,0.985318334689456,0.986747526841344,0.986747526841345,1,0.976587472983606,0.984171608577671,0.975508956572912,0.983013469116892,0.974138348809291,0.985614800643824,0.983490537501777,0.982870495951178,0.984886656913976,0.984750960877285,0.983668677926702,0.982790307844531,0.98100100452139,0.984775139649086,0.982450984619352,0.983958195578621,0.981586202457489,0.975911285537326,0.977488171210472,0.978082690926265,0.982025320531856,0.971969916918826,0.976312159825495,0.979442031924529,0.979807133978804,0.973279570989312,0.980343884472358,0.978806272033635,0.981262371608699,0.979671785541202,0.978640021740857,0.982137425255018,0.981726843070117,0.985318334689456,0.9839282800126,0.977384955463212,0.972982096809231,0.978521274650774,0.984279264797987,0.981758730831045,0.975852306880011,0.984074999381497,0.971533470264745,0.978329281456117,0.984030817092691,0.981033572255762,0.976186930932229,0.974435407413275,0.98008497973489,0.981836162145446,0.979537338521976,0.976300585820511,0.986747526841344,0.986747526841344,0.986747526841344,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"82",0.993500852691426,0.994672095849145,0.994009501893676,0.994133560867581,0.990699998776567,0.994009501893676,0.994009501893676,0.976587472983606,1,0.991528262566086,0.982250752282208,0.991055487924907,0.981633133284717,0.989932922420456,0.991995394821789,0.98935221479096,0.991932770255909,0.990437875871554,0.991876912456239,0.993156028145052,0.988366675424318,0.990222797374596,0.988540723329181,0.990766085482743,0.988287375380035,0.982586556039126,0.986840600033239,0.985614477092413,0.987506828541324,0.982332465489542,0.984231777518063,0.986838541256744,0.987968578345659,0.980534809603978,0.989073190821198,0.989195068480359,0.991058012939459,0.984549284642713,0.985454952783037,0.989161915399973,0.989236349965054,0.990699998776567,0.992236622886927,0.981429376818046,0.983031381936935,0.984945042836881,0.991152081508109,0.985573720028006,0.983773513681013,0.992217068060898,0.976956372073357,0.989084636308333,0.989397751977698,0.987049690876057,0.981705998095671,0.983095308716518,0.989359131384903,0.990439990902852,0.98040067579981,0.984981443692259,0.994009501893676,0.994009501893676,0.994009501893676,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"85",0.997964366652404,0.99709424562005,0.997959774976078,0.997446316054965,0.994343256859818,0.997959774976077,0.997959774976078,0.984171608577671,0.991528262566086,1,0.988377767782244,0.99459813135281,0.98684410499855,0.995146335911629,0.995669406506971,0.993198283960462,0.995814528478496,0.994233452624712,0.995529238370881,0.995758699380162,0.99111301368603,0.994626300470266,0.992036632563327,0.995891248344686,0.991245116023618,0.989417191409324,0.991375902724628,0.99008701995737,0.992858310017207,0.9856714443061,0.986911091479822,0.992261713199964,0.992060661639142,0.984693804402644,0.992814173198545,0.991782625940749,0.993062017106115,0.990137374737295,0.990595975220261,0.993416368583541,0.993738383241633,0.994343256859818,0.996049058523346,0.987154728280655,0.985757298387605,0.989315586903973,0.995668674774561,0.990647879523549,0.988570598384157,0.995561319221628,0.97957066846928,0.990884911703289,0.994152415181354,0.99232663009974,0.986367364769797,0.985170838821827,0.992140656705535,0.994054813492434,0.984314161181995,0.98680016835376,0.997959774976077,0.997959774976078,0.997959774976078,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"87",0.991156391974746,0.991736512122212,0.991368783454583,0.990862825133338,0.987443124321619,0.991368783454582,0.991368783454583,0.975508956572912,0.982250752282208,0.988377767782244,1,0.989859435836124,0.979644481829226,0.989113199725155,0.989488196862625,0.988529029877353,0.989734127802218,0.987341522429367,0.988777009839232,0.989062214495316,0.984707878786031,0.987595563972859,0.985756464835578,0.988831033559622,0.984006012643085,0.981995042347055,0.984048578563753,0.98343001772163,0.983990597108176,0.980279108257369,0.981225616745949,0.985599667721767,0.985618601560533,0.977823690474382,0.984172023735705,0.986645509945548,0.986879296663111,0.9842360995552,0.982472612676686,0.985969926974395,0.986670818432112,0.987443124321619,0.989746989644031,0.97902008836351,0.978489394038923,0.981027163679599,0.988370256855751,0.984980918212469,0.982946140626332,0.989150860647565,0.973710632461669,0.985458318905324,0.987280397836195,0.986257367175883,0.980835476506554,0.979609051095188,0.985488121453798,0.988433654774397,0.97660011573273,0.981327684807227,0.991368783454583,0.991368783454583,0.991368783454583,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"64",0.997443442886524,0.996841594817504,0.997489620240957,0.996948250800264,0.994095273871324,0.997489620240957,0.997489620240957,0.983013469116892,0.991055487924907,0.99459813135281,0.989859435836124,1,0.986085055905558,0.995003076875637,0.995416712083479,0.993808944140603,0.995478876341954,0.99379483342912,0.995310073826442,0.994981084289702,0.991389973213099,0.994204325744849,0.993147016427109,0.993761552903889,0.991561904540269,0.989370512155923,0.988822826046491,0.988388648643172,0.990639749471694,0.987022455068919,0.98719077216096,0.990301294589939,0.990466008656146,0.98309464659423,0.990137441452828,0.991465768478248,0.992683345552562,0.990716616172538,0.987939497028177,0.992081566452574,0.992395529304505,0.994095273871324,0.995527931243187,0.984906754764109,0.983894607410909,0.987479882721953,0.995146384213018,0.991831626925663,0.988663560704388,0.995449517999987,0.98037841077694,0.990747537233588,0.993297894389703,0.993309520544164,0.98719675383553,0.987819391446949,0.992929613386385,0.993940181190426,0.982806105217833,0.988886285086628,0.997489620240957,0.997489620240957,0.997489620240957,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"65",0.988921222417075,0.988831574389942,0.988880823798157,0.988048442691458,0.984017071292057,0.988880823798156,0.988880823798157,0.974138348809291,0.981633133284717,0.98684410499855,0.979644481829226,0.986085055905558,1,0.985471440860164,0.986797536153249,0.983420927771535,0.986937804784151,0.984795447764051,0.986396806276181,0.986177345637605,0.984107376022492,0.987572451646961,0.984486030607519,0.985399632436793,0.982431055320381,0.979386462753357,0.979816486123862,0.978626067707167,0.984299755429582,0.978397156274812,0.978297716457614,0.981663535490908,0.982421442144794,0.975064568266374,0.983861173276056,0.98101651679424,0.983862405908944,0.98015831864036,0.983387380503501,0.984131065646083,0.981853311799471,0.984017071292057,0.988086201086828,0.975125045854344,0.975645327970126,0.981048075304535,0.986699923274902,0.982160340597761,0.980093470517685,0.987013457725251,0.970762027897689,0.983229980841875,0.984381908467862,0.983747024251624,0.9795781800536,0.979730115040871,0.98388027938729,0.985638440397387,0.974652772035828,0.978573769193229,0.988880823798157,0.988880823798157,0.988880823798157,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"66",0.997622543812321,0.996840834122626,0.997608261514442,0.996835501108339,0.994647460542034,0.997608261514442,0.997608261514442,0.985614800643824,0.989932922420456,0.995146335911629,0.989113199725155,0.995003076875637,0.985471440860164,1,0.995505439761182,0.994074121958089,0.995949838172244,0.994959710875326,0.995067047638696,0.994731190298353,0.990146149358527,0.994999810895546,0.993094459107743,0.994376762401588,0.992126340114917,0.989480184347003,0.99010350536696,0.989241702856874,0.991893897898649,0.986720325374915,0.987468721684213,0.989851757848936,0.99124479546056,0.983805856393216,0.990485025950269,0.990317115968599,0.99233424335717,0.990496426379622,0.989618022819138,0.993009355523617,0.993112942455904,0.994647460542034,0.995315671881934,0.986867452793908,0.984244561824387,0.987509750751334,0.994680573462605,0.992065252438443,0.989555721268792,0.99505578476676,0.981514731151718,0.989658948149552,0.993684705492191,0.992982919581935,0.985192260958068,0.985612613948191,0.991537784614676,0.994268062520689,0.984151513944192,0.988709005999828,0.997608261514442,0.997608261514442,0.997608261514442,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"68",0.997832086611619,0.997448561856075,0.997959194929782,0.997733063164904,0.994015843532231,0.997959194929782,0.997959194929782,0.983490537501777,0.991995394821789,0.995669406506971,0.989488196862625,0.995416712083479,0.986797536153249,0.995505439761182,1,0.994470318754391,0.996008104223165,0.994767643722426,0.99571461982956,0.995717601381988,0.991799846968975,0.994729817872808,0.993487117582335,0.994545880501384,0.992265842974334,0.989944725966627,0.989665617181314,0.989186632459874,0.991547578528059,0.987681140717633,0.987295328374365,0.991293377372308,0.99098787207881,0.984106913737156,0.99199070416751,0.991575731730761,0.993119832742748,0.990187930059434,0.989180044717034,0.992725988577995,0.992175063245373,0.994015843532231,0.996486736740493,0.986414326816129,0.985671524244446,0.988114760776623,0.995317408001939,0.991338252570501,0.988389309101496,0.995227216879288,0.980245300769791,0.991472001460403,0.993904449220343,0.992630364725322,0.98602343878785,0.986136015687105,0.992697432706122,0.99432077156457,0.983211439380458,0.989135940186184,0.997959194929782,0.997959194929782,0.997959194929782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
