"","CON","AD","PD","HD","MS","CON","AD","PD","HD","MS"
"CON",1,0.891360870244296,0.985677724619319,0.988807582829175,0.885920950283314,NA,0,0,0,0
"AD",0.891360870244296,1,0.829681809283746,0.843159574848926,0.768359910024589,0,NA,0,0,0
"PD",0.985677724619319,0.829681809283746,1,0.99058491272792,0.893965707564298,0,0,NA,0,0
"HD",0.988807582829175,0.843159574848926,0.99058491272792,1,0.88196598014566,0,0,0,NA,0
"MS",0.885920950283314,0.768359910024589,0.893965707564298,0.88196598014566,1,0,0,0,0,NA
