"","GSE67333","GSE68719","GSE53697","GSE64810","GSE100297","GSE67333","GSE68719","GSE53697","GSE64810","GSE100297"
"GSE67333",1,0.806793664624838,0.923012165381181,0.827215729094243,0.77163952198977,NA,0,0,0,0
"GSE68719",0.806793664624838,1,0.828736612811528,0.991486207602212,0.906674804248082,0,NA,0,0,0
"GSE53697",0.923012165381181,0.828736612811528,1,0.851371571594995,0.7744035907758,0,0,NA,0,0
"GSE64810",0.827215729094243,0.991486207602212,0.851371571594995,1,0.889023375123168,0,0,0,NA,0
"GSE100297",0.77163952198977,0.906674804248082,0.7744035907758,0.889023375123168,1,0,0,0,0,NA
