"","magenta....PSVZbyQSVZ_Morizur_FC5___"
"1","AAMP"
"2","AKT1"
"3","ARHGDIA"
"4","ARL6IP4"
"5","BCL7A"
"6","CCL27"
"7","CDC37"
"8","CDK10"
"9","CFL1"
"10","CNOT3"
"11","COPE"
"12","COPS7B"
"13","CRAT"
"14","CTBP1"
"15","DBN1"
"16","EEF2"
"17","FSCN1"
"18","FXR2"
"19","GIT1"
"20","GPS1"
"21","HDAC6"
"22","HOMER2"
"23","IRF3"
"24","KHSRP"
"25","MAPT"
"26","MCRS1"
"27","MTA1"
"28","NFIX"
"29","NIN"
"30","NOVA2"
"31","PEX14"
"32","PKN1"
"33","POLR2E"
"34","PPP2R1A"
"35","PPP2R5B"
"36","PSMC4"
"37","PSMD3"
"38","RAB1B"
"39","RAD23A"
"40","SF3B4"
"41","SMARCB1"
"42","SMARCC2"
"43","STK25"
"44","SUPT5H"
"45","SUPT6H"
"46","TAF6"
"47","TCEA2"
"48","TP53"
"49","TUBB"
"50","TUBGCP2"
"51","TXN2"
"52","VPS52"
