"","HuAgeMSNDsplit_20....QSVZbyPSVZ_Morizur_FC5___"
"1","APOE"
"2","ATP1B2"
"3","BMP7"
"4","CLDN10"
"5","CLU"
"6","EDNRB"
"7","EPHX2"
"8","FGFR3"
"9","FXYD1"
"10","GATM"
"11","GPC5"
"12","GRIN2C"
"13","HTRA1"
"14","ITM2C"
"15","NR1D1"
"16","NTSR2"
"17","PHKA1"
"18","PRKCA"
"19","SDC4"
"20","SERPINE2"
"21","SLC1A4"
"22","SLC4A4"
"23","SLC9A3R1"
"24","SLCO1C1"
"25","TST"
"26","TTYH1"
"27","VAV3"
