"","pink....QNSCbyPNSC_Ben_FC5___"
"1","BAMBI"
"2","C1R"
"3","CAST"
"4","CLEC3B"
"5","COPZ2"
"6","CRABP1"
"7","FABP4"
"8","FMOD"
"9","FOLR2"
"10","GHR"
"11","GPR88"
"12","IGFBP6"
"13","IL1R1"
"14","ISLR"
"15","KLF5"
"16","OMD"
"17","PCOLCE"
"18","PCOLCE2"
"19","PKP2"
"20","PRELP"
"21","PRRX2"
"22","RAB3IL1"
"23","RARRES2"
"24","SEMA3C"
"25","SERPING1"
"26","SLC13A4"
"27","SLC22A2"
"28","SNAI2"
"29","TMOD1"
"30","TSPAN4"
"31","WNT11"
