"","turquoise....endoBYoFC5__"
"1","ABCC6"
"2","AKAP12"
"3","ASB4"
"4","CASP8"
"5","CRYBB3"
"6","CSF3"
"7","CTSW"
"8","DES"
"9","EDN3"
"10","ETS1"
"11","F2RL3"
"12","FZD6"
"13","GRB10"
"14","GSTM1"
"15","HMGCS2"
"16","ITGA4"
"17","KITLG"
"18","LAMB1"
"19","MADCAM1"
"20","MAPK12"
"21","MEOX1"
"22","MMP25"
"23","MMP28"
"24","PGLYRP1"
"25","PLK2"
"26","PLS3"
"27","POMC"
"28","RBP1"
"29","ST3GAL6"
"30","TBX1"
"31","TIAM1"
"32","TNFAIP1"
"33","TPM4"
"34","TRIM25"
"35","TTR"
"36","WFDC1"
