"","HuAgeMSNDsplit_20....AstroByothers_Zhang_Cuffdiff2FCover20__"
"1","APOE"
"2","ATP1A2"
"3","AXL"
"4","CLDN10"
"5","CLU"
"6","EPHX2"
"7","FGFR3"
"8","FXYD1"
"9","GLI3"
"10","GLUD1"
"11","GLUD2"
"12","GPC5"
"13","HTRA1"
"14","NDRG2"
"15","NTSR2"
"16","PTPRZ1"
"17","SLC1A2"
"18","SLC4A4"
"19","SLCO1C1"
"20","TTYH1"
