"","turquoise....qRP_BY_aNP_ThanTrong_up__"
"1","APLP2"
"2","AQP7"
"3","ATOX1"
"4","CMKLR1"
"5","CTSF"
"6","CXCL14"
"7","DAPK1"
"8","DARS"
"9","DIO2"
"10","DUSP5"
"11","FJX1"
"12","GALNS"
"13","GNMT"
"14","GSTO1"
"15","HEY1"
"16","JUN"
"17","KDELR3"
"18","NCF1"
"19","PGD"
"20","PGRMC1"
"21","RENBP"
"22","RGS4"
"23","SCG3"
"24","SERPINE1"
"25","SNX15"
"26","UCP1"
"27","XPNPEP2"
