"","HuAgeMSNDsplit_02....MacroByMicro_Zhang_Cuffdiff2FCover20__"
"1","ADORA2B"
"2","ANPEP"
"3","BIRC5"
"4","BUB1"
"5","BUB1B"
"6","CCNB2"
"7","CD5L"
"8","CHEK1"
"9","CRIP1"
"10","EHD1"
"11","EMILIN1"
"12","EVI5"
"13","F5"
"14","FGFR1"
"15","FZD1"
"16","IGLL1"
"17","KCNN3"
"18","LOXL2"
"19","LTBP1"
"20","P2RY2"
"21","POLE"
"22","RDH16"
"23","S100A4"
"24","SERPINB8"
"25","SLC7A2"
"26","SORBS3"
"27","TEX14"
"28","TGFB2"
"29","TPSAB1"
"30","UNC119"
"31","XDH"
