"","HuAgeMSNDsplit_16....PSVZbyQSVZ_Morizur_FC5___"
"1","AHSA1"
"2","BAG2"
"3","CCT3"
"4","CEBPZ"
"5","CHIC2"
"6","CKS2"
"7","DKC1"
"8","DNAJB1"
"9","EFNB1"
"10","FKBP4"
"11","FXR1"
"12","HSP90AA1"
"13","HSPA1L"
"14","HSPH1"
"15","MKNK2"
"16","PCBD1"
"17","PLOD3"
"18","RBM14"
"19","RCC1"
"20","RPS27L"
"21","ST13"
"22","STIP1"
"23","TARS"
"24","TIMM9"
"25","TNPO1"
"26","USPL1"
"27","XPO1"
"28","YY1"
