"","yellow....PGBCbyQGBC_Aulestia_FC5___"
"1","AEBP1"
"2","C3"
"3","C3AR1"
"4","CA9"
"5","CAPG"
"6","CASP1"
"7","CD74"
"8","CTSS"
"9","CTSZ"
"10","CYBA"
"11","FPR1"
"12","GLIPR1"
"13","GPNMB"
"14","HLA-DMB"
"15","HLA-DRA"
"16","LTBR"
"17","MAFB"
"18","PCK1"
"19","PDCD1LG2"
"20","PLAUR"
"21","PLTP"
"22","PROCR"
"23","PYCARD"
"24","RAC2"
"25","SPINT1"
"26","STC1"
"27","THBS1"
