"","HuAgeMSNDsplit_02....qRP_BY_aNP_ThanTrong_up__"
"1","ABCC5"
"2","ADPRH"
"3","ALOX12"
"4","ANGPTL4"
"5","AOC2"
"6","ASPH"
"7","CD164"
"8","CEBPD"
"9","CLN3"
"10","CRTAP"
"11","CTNS"
"12","DIO1"
"13","ELK3"
"14","ENTPD1"
"15","FMO5"
"16","GAB1"
"17","GALK1"
"18","IRF7"
"19","KCNN3"
"20","LIPF"
"21","LIPG"
"22","LMNA"
"23","MFNG"
"24","MT2A"
"25","PAWR"
"26","PERP"
"27","PLCB3"
"28","PRCP"
"29","PSAT1"
"30","PTGES"
"31","SCARF1"
"32","SMAD5"
"33","TNFSF12"
"34","VAMP5"
"35","YES1"
