"","yellow....macrophagesBYoFC5__"
"1","ALOX5"
"2","ARG1"
"3","ARHGDIB"
"4","C3"
"5","CCR1"
"6","CCR2"
"7","CD163"
"8","CDKN1A"
"9","CEBPB"
"10","CLEC10A"
"11","CSF2RA"
"12","CYBB"
"13","EMP3"
"14","FLOT2"
"15","FPR1"
"16","HPSE"
"17","ITGB2"
"18","LGALS3"
"19","LPL"
"20","MSR1"
"21","NFE2"
"22","NINJ1"
"23","PIM1"
"24","PLAUR"
"25","PTGER4"
"26","PTPN7"
"27","PYGL"
"28","RAB27A"
"29","RAC2"
"30","S100A10"
"31","SELL"
"32","SERPINB1"
"33","STX11"
"34","STXBP2"
"35","UCP2"
"36","VSIG4"
