"","HuAgeMSNDsplit_08....EndotheByothers_Zhang_Cuffdiff2FCover20__"
"1","ADH1A"
"2","ADH1B"
"3","ASPN"
"4","CAST"
"5","CLEC1A"
"6","ECM2"
"7","FBLN5"
"8","FOXC1"
"9","IGF2"
"10","IL1R1"
"11","KDR"
"12","LAMA4"
"13","LEPR"
"14","MPZL1"
"15","PDGFD"
"16","PTGIS"
"17","SLC22A8"
"18","TFPI"
"19","TFPI2"
"20","TNFRSF11B"
