"","HuAgeMSNDsplit_08....QGBObyPGBO_GSE114574_Tejero_FC5___"
"1","C1R"
"2","C1S"
"3","CAST"
"4","COL18A1"
"5","CRABP1"
"6","ECM2"
"7","GYPC"
"8","IGFBP6"
"9","KLF5"
"10","LAMA4"
"11","LTBP2"
"12","MPZL1"
"13","PLA2G2A"
"14","PLAU"
"15","PROS1"
"16","RNASEL"
"17","SEMA3C"
"18","SERPING1"
"19","WNT11"
