"","HuAgeMSNDsplit_03....tapBYqnp_Mukherjee_FC5___"
"1","AP2M1"
"2","BCHE"
"3","CBX5"
"4","CLCN5"
"5","CXXC4"
"6","DCTD"
"7","DDX25"
"8","DPP6"
"9","ELAVL4"
"10","FABP7"
"11","GLS2"
"12","HOXA3"
"13","KARS"
"14","LY6H"
"15","MATK"
"16","MLF1"
"17","MPV17"
"18","MTMR2"
"19","NDUFA3"
"20","PCDH8"
"21","PKIA"
"22","PLA2G3"
"23","PLAGL1"
"24","RHOH"
"25","SCN11A"
"26","SLC25A12"
"27","SLC25A14"
"28","SLC7A6"
"29","ST8SIA1"
"30","TSGA10"
"31","VRK1"
